#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
         152   -0.457186   -0.445702 0.000635734
         153   -0.429997   -0.445599 0.000639813
         154   -0.451911    -0.44564  0.00063697
         155   -0.439998   -0.445604   0.0006339
         156   -0.444894   -0.445599 0.000629852
         157   -0.447597   -0.445612 0.000625969
         158    -0.43868   -0.445568 0.000623543
         159   -0.432306   -0.445485 0.000625175
         160   -0.425097   -0.445357  0.00063412
         161   -0.451694   -0.445397 0.000631402
         162   -0.454928   -0.445456 0.000630239
         163   -0.446532   -0.445462 0.000626407
         164   -0.448171   -0.445479 0.000622806
         165    -0.45198   -0.445518 0.000620276
         166   -0.446831   -0.445526  0.00061659
         167   -0.440041   -0.445493 0.000613772
         168   -0.448214   -0.445509 0.000610332
         169    -0.44382   -0.445499 0.000606803
         170   -0.442348   -0.445481 0.000603516
         171   -0.442381   -0.445463 0.000600259
         172   -0.444597   -0.445458  0.00059679
         173   -0.448156   -0.445473 0.000593544
         174   -0.440246   -0.445443 0.000590893
         175   -0.440742   -0.445416 0.000588127
         176   -0.435964   -0.445363 0.000587232
         177   -0.437468   -0.445318 0.000585606
         178   -0.446808   -0.445326 0.000582376
         179   -0.449281   -0.445349 0.000579541
         180   -0.451127   -0.445381  0.00057721
         181   -0.453851   -0.445427 0.000575915
         182   -0.446592   -0.445434 0.000572786
         183    -0.43187    -0.44536 0.000574432
         184    -0.44125   -0.445337 0.000571744
         185   -0.425207   -0.445229 0.000578915
         186   -0.441736    -0.44521 0.000576107
         187   -0.440776   -0.445186 0.000573514
         188   -0.432635   -0.445119 0.000574336
         189   -0.441584   -0.445101 0.000571602
         190   -0.446711   -0.445109 0.000568656
         191   -0.449657   -0.445133 0.000566177
         192   -0.439481   -0.445103 0.000563993
         193   -0.450092   -0.445129 0.000561663
         194   -0.457586   -0.445194 0.000562426
         195   -0.447815   -0.445207 0.000559702
         196   -0.452714   -0.445245 0.000558156
         197   -0.448197    -0.44526 0.000555524
         198   -0.448415   -0.445276 0.000552946
         199   -0.440528   -0.445252 0.000550682
         200   -0.440036   -0.445226 0.000548546
         201    -0.44053   -0.445203 0.000546314
         202   -0.446426   -0.445209 0.000543643
         203   -0.432326   -0.445145 0.000544657
         204   -0.453802   -0.445188 0.000543638
         205   -0.450174   -0.445212  0.00054153
         206   -0.439217   -0.445183 0.000539682
         207   -0.461326   -0.445261 0.000542681
         208   -0.435636   -0.445215 0.000542041
         209     -0.4452   -0.445215 0.000539447
         210    -0.45418   -0.445257 0.000538565
         211   -0.449058   -0.445275 0.000536314
         212   -0.441931    -0.44526 0.000534016
         213   -0.443204    -0.44525 0.000531596
         214   -0.454369   -0.445293 0.000530817
         215   -0.449158   -0.445311 0.000528653
         216   -0.433405   -0.445256 0.000529071
         217   -0.439427   -0.445229 0.000527314
         218   -0.446791   -0.445236 0.000524944
         219   -0.447104   -0.445244 0.000522616
         220   -0.445781   -0.445247 0.000520246
         221   -0.446999   -0.445255 0.000517953
         222   -0.449159   -0.445272 0.000515918
         223   -0.450193   -0.445294 0.000514076
         224   -0.436793   -0.445256  0.00051318
         225   -0.439216    -0.44523 0.000511601
         226    -0.44267   -0.445218 0.000509463
         227   -0.458849   -0.445278 0.000510745
         228   -0.446437   -0.445283  0.00050853
         229   -0.439887    -0.44526 0.000506855
         230   -0.442277   -0.445247 0.000504817
         231   -0.450112   -0.445268 0.000503071
         232   -0.432827   -0.445214 0.000503753
         233   -0.439699   -0.445191 0.000502147
         234    -0.44355   -0.445184  0.00050005
         235   -0.445974   -0.445187 0.000497933
         236   -0.450732    -0.44521 0.000496377
         237   -0.444603   -0.445208 0.000494289
         238   -0.427381   -0.445133 0.000497855
         239    -0.44966   -0.445152 0.000496132
         240   -0.437773   -0.445121 0.000495017
         241   -0.446243   -0.445126 0.000492985
         242   -0.446388   -0.445131 0.000490975
         243   -0.462473   -0.445202 0.000494115
         244   -0.450336   -0.445223 0.000492537
