#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167    0.343714    0.323889  0.00111422
         168    0.344577    0.324012  0.00111437
         169    0.331649    0.324057  0.00110869
         170     0.33835    0.324141  0.00110536
         171    0.323481    0.324138   0.0010989
         172    0.303032    0.324015  0.00109934
         173    0.307532     0.32392  0.00109711
         174    0.311356    0.323847  0.00109317
         175    0.335368    0.323913  0.00108891
         176    0.332957    0.323965  0.00108393
         177    0.341188    0.324062  0.00108217
         178    0.328692    0.324088   0.0010764
         179    0.325373    0.324095  0.00107041
         180    0.321883    0.324083  0.00106453
         181    0.312105    0.324017  0.00106071
         182    0.322321    0.324007  0.00105492
         183    0.323727    0.324006  0.00104916
         184    0.323617    0.324004  0.00104346
         185    0.334543    0.324061  0.00103937
         186    0.326246    0.324072  0.00103385
         187    0.338709    0.324151  0.00103128
         188    0.325739    0.324159  0.00102583
         189    0.328826    0.324184   0.0010207
         190    0.339768    0.324266  0.00101862
         191    0.332411    0.324308  0.00101418
         192    0.314626    0.324258  0.00101015
         193    0.317181    0.324221  0.00100558
         194    0.322117    0.324211  0.00100045
         195    0.320107    0.324189 0.000995544
         196    0.323866    0.324188 0.000990466
         197     0.32351    0.324184 0.000985444
         198    0.334264    0.324235 0.000981781
         199    0.305093    0.324139 0.000981548
         200     0.34519    0.324244 0.000982268
         201    0.342762    0.324336 0.000981692
         202    0.320583    0.324318 0.000977008
         203    0.328854     0.32434  0.00097245
         204    0.341014    0.324422 0.000971112
         205    0.325372    0.324427 0.000966386
         206    0.319991    0.324405 0.000961935
         207    0.314848    0.324359 0.000958395
         208    0.303347    0.324258 0.000959097
         209    0.339602    0.324331 0.000957314
         210    0.319514    0.324308  0.00095303
         211    0.323377    0.324304 0.000948523
         212    0.332043     0.32434 0.000944751
         213    0.326386     0.32435 0.000940365
         214    0.325798    0.324357 0.000935995
         215    0.326188    0.324365  0.00093168
         216    0.344583    0.324459 0.000932056
         217    0.319186    0.324435 0.000928078
         218    0.351309    0.324558 0.000931972
         219    0.324628    0.324558 0.000927717
         220    0.330892    0.324587 0.000923946
         221    0.304627    0.324497  0.00092417
         222     0.30297      0.3244  0.00092508
         223    0.323823    0.324397 0.000920935
         224    0.320564     0.32438 0.000916983
         225    0.315708    0.324342 0.000913717
         226    0.314953      0.3243 0.000910618
         227    0.333379     0.32434 0.000907484
         228    0.325262    0.324344 0.000903513
         229    0.329465    0.324366 0.000899844
         230    0.328116    0.324383 0.000896079
         231    0.328349      0.3244 0.000892365
         232    0.329862    0.324423 0.000888829
         233    0.308389    0.324355 0.000887674
         234    0.301772    0.324258 0.000889111
         235    0.344397    0.324344 0.000889448
         236    0.332984     0.32438 0.000886433
         237     0.30521    0.324299 0.000886375
         238    0.308627    0.324234 0.000885094
         239    0.326463    0.324243  0.00088144
         240    0.327658    0.324257 0.000877882
         241    0.320612    0.324242 0.000874369
         242    0.312029    0.324192 0.000872212
         243    0.328443    0.324209 0.000868798
         244    0.332974    0.324245 0.000865979
         245     0.33655    0.324295   0.0008639
         246    0.336243    0.324344 0.000861752
         247    0.331628    0.324373 0.000858768
         248    0.349443    0.324474 0.000861234
         249    0.290342    0.324337 0.000868616
         250    0.317678    0.324311  0.00086555
         251    0.303476    0.324228 0.000866073
         252    0.348915    0.324326 0.000868159
         253    0.329105    0.324345 0.000864933
         254    0.351563    0.324452  0.00086814
         255    0.331356    0.324479 0.000865158
         256    0.326217    0.324486 0.000861805
         257    0.309386    0.324427 0.000860452
         258    0.313199    0.324383 0.000858217
         259    0.326465    0.324391 0.000854941
         260    0.351984    0.324497 0.000858214
         261    0.318593    0.324475 0.000855224
         262    0.317211    0.324447 0.000852409
         263    0.328113    0.324461 0.000849282
         264    0.303784    0.324383 0.000849668
         265      0.3415    0.324447 0.000848914
         266    0.327276    0.324458 0.000845789
         267    0.345094    0.324535 0.000846146
         268    0.322632    0.324528 0.000843018
         269    0.349877    0.324622 0.000845135
         270    0.316862    0.324594 0.000842493
         271    0.306708    0.324528 0.000841966
         272    0.329249    0.324545 0.000839049
         273    0.313779    0.324506 0.000836902
         274    0.323979    0.324504  0.00083385
         275    0.324271    0.324503 0.000830818
         276    0.329671    0.324522 0.000828019
         277    0.327143    0.324531 0.000825084
         278    0.316227    0.324501 0.000822656
         279    0.319154    0.324482 0.000819931
         280    0.318665    0.324461 0.000817266
         281    0.347602    0.324544 0.000818496
         282    0.325644    0.324547 0.000815602
         283    0.333488    0.324579 0.000813332
         284    0.308214    0.324521 0.000812507
         285    0.341387    0.324581 0.000811808
         286    0.312947     0.32454 0.000809988
         287    0.320056    0.324524 0.000807317
         288    0.317242    0.324499 0.000804909
         289    0.295844      0.3244 0.000808208
         290    0.347415    0.324479 0.000809308
         291    0.321992    0.324471 0.000806572
         292    0.326033    0.324476 0.000803828
         293    0.334263    0.324509 0.000801778
         294    0.333712    0.324541 0.000799662
         295    0.330217     0.32456 0.000797183
         296    0.327391    0.324569 0.000794547
         297    0.322346    0.324562 0.000791907
         298    0.319459    0.324545 0.000789434
