#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.777178   -0.769094  0.00127435
         153   -0.743329   -0.768926   0.0012771
         154    -0.80381   -0.769152  0.00128874
         155   -0.770202   -0.769159  0.00128044
         156   -0.790895   -0.769298  0.00127979
         157   -0.760621   -0.769243  0.00127284
         158   -0.775657   -0.769284  0.00126543
         159   -0.750482   -0.769165  0.00126298
         160   -0.739391   -0.768979  0.00126872
         161   -0.783963   -0.769072  0.00126425
         162   -0.757242   -0.768999  0.00125856
         163   -0.789117   -0.769123  0.00125687
         164   -0.798268     -0.7693  0.00126171
         165   -0.755832   -0.769219   0.0012567
         166   -0.781987   -0.769296  0.00125148
         167   -0.783755   -0.769382  0.00124698
         168   -0.792792   -0.769522  0.00124732
         169   -0.775469   -0.769557  0.00124043
         170   -0.780699   -0.769622  0.00123487
         171   -0.765862     -0.7696  0.00122784
         172   -0.747629   -0.769473  0.00122733
         173   -0.755687   -0.769393  0.00122282
         174   -0.751603   -0.769291  0.00122006
         175    -0.77611    -0.76933  0.00121371
         176   -0.768921   -0.769327  0.00120681
         177   -0.778656    -0.76938  0.00120115
         178     -0.7755   -0.769414  0.00119489
         179   -0.774653   -0.769444  0.00118857
         180    -0.77301   -0.769463  0.00118214
         181   -0.765956   -0.769444  0.00117576
         182   -0.768913   -0.769441  0.00116931
         183   -0.755596   -0.769365  0.00116536
         184   -0.764867   -0.769341  0.00115928
         185    -0.75975   -0.769289  0.00115418
         186   -0.767982   -0.769282  0.00114799
         187   -0.779485   -0.769337  0.00114315
         188   -0.758374   -0.769278  0.00113856
         189   -0.770409   -0.769284  0.00113255
         190   -0.786479   -0.769375   0.0011302
         191   -0.782067   -0.769441  0.00112623
         192   -0.754107   -0.769361  0.00112319
         193   -0.767273   -0.769351  0.00111743
         194   -0.779703   -0.769404  0.00111294
         195   -0.767922   -0.769396  0.00110726
         196    -0.77658   -0.769433  0.00110222
         197   -0.771708   -0.769445  0.00109668
         198   -0.782679   -0.769511  0.00109318
         199   -0.745621   -0.769391  0.00109426
         200   -0.785227   -0.769471  0.00109165
         201   -0.783292   -0.769539  0.00108838
         202   -0.767009   -0.769527  0.00108306
         203    -0.76118   -0.769486  0.00107851
         204   -0.794816    -0.76961  0.00108034
         205   -0.775545   -0.769639  0.00107546
         206   -0.759209   -0.769588  0.00107143
         207   -0.776175    -0.76962  0.00106673
         208   -0.738983   -0.769473  0.00107172
         209   -0.784802   -0.769546   0.0010691
         210   -0.773694   -0.769566  0.00106419
         211   -0.772435   -0.769579  0.00105924
         212   -0.773974     -0.7696  0.00105444
         213    -0.76959     -0.7696  0.00104949
         214   -0.780167   -0.769649  0.00104575
         215   -0.775345   -0.769676  0.00104122
         216   -0.777988   -0.769714  0.00103711
         217   -0.758613   -0.769663  0.00103359
         218     -0.7981   -0.769794  0.00103705
         219   -0.771732   -0.769803  0.00103235
         220   -0.776674   -0.769834  0.00102813
         221   -0.751625   -0.769751  0.00102678
         222   -0.752129   -0.769672  0.00102521
         223   -0.774016   -0.769692   0.0010208
         224   -0.757357   -0.769636  0.00101773
         225   -0.754924   -0.769571   0.0010153
         226   -0.757623   -0.769518  0.00101219
         227   -0.792228   -0.769618  0.00101266
         228   -0.771699   -0.769627  0.00100826
         229   -0.769352   -0.769626  0.00100386
         230   -0.770393    -0.76963 0.000999499
         231   -0.778461   -0.769668 0.000995903
         232    -0.76269   -0.769638 0.000992064
         233   -0.748087   -0.769545 0.000992109
         234   -0.745322   -0.769442 0.000993255
         235   -0.790371   -0.769531 0.000993013
         236   -0.783715   -0.769591 0.000990623
         237   -0.749813   -0.769507 0.000989952
         238   -0.736008   -0.769367 0.000995748
         239   -0.776123   -0.769395 0.000991983
         240   -0.765431   -0.769378 0.000987987
         241   -0.766856   -0.769368 0.000983943
         242   -0.758417   -0.769323 0.000980918
         243   -0.790916   -0.769412 0.000980898
         244   -0.783309   -0.769468  0.00097853
         245   -0.774242   -0.769488  0.00097473
         246   -0.765405   -0.769471 0.000970909
         247   -0.780652   -0.769517 0.000968033
         248   -0.796137   -0.769624 0.000970062
         249   -0.745906   -0.769529 0.000970832
         250   -0.757181   -0.769479 0.000968204
         251   -0.749293   -0.769399 0.000967681
         252   -0.792636   -0.769491 0.000968224
         253   -0.758316   -0.769447 0.000965404
         254   -0.784182   -0.769505 0.000963345
         255   -0.767678   -0.769498 0.000959594
         256    -0.76386   -0.769476 0.000956098
         257   -0.760348    -0.76944 0.000953037
         258   -0.767872   -0.769434 0.000949363
         259   -0.757424   -0.769388 0.000946829
         260   -0.778868   -0.769424 0.000943889
         261   -0.764346   -0.769405 0.000940473
         262   -0.768719   -0.769402 0.000936887
         263   -0.761849   -0.769373 0.000933765
         264   -0.747419    -0.76929 0.000933924
         265   -0.783656   -0.769345 0.000931972
         266   -0.756564   -0.769296 0.000929706
         267   -0.778313    -0.76933 0.000926837
         268   -0.758189   -0.769289  0.00092431
         269   -0.806419   -0.769427 0.000931124
         270   -0.764157   -0.769407  0.00092788
         271   -0.749021   -0.769332   0.0009275
         272   -0.763973   -0.769312   0.0009243
         273   -0.761467   -0.769284  0.00092136
         274   -0.762665   -0.769259 0.000918314
         275   -0.766196   -0.769248 0.000915043
         276   -0.772545    -0.76926 0.000911805
         277    -0.77192    -0.76927 0.000908564
         278   -0.777556     -0.7693 0.000905785
         279     -0.7658   -0.769287 0.000902625
         280    -0.75864   -0.769249 0.000900202
         281   -0.793829   -0.769336 0.000901238
         282   -0.782244   -0.769382 0.000899204
         283    -0.77912   -0.769417 0.000896685
         284   -0.756587   -0.769371 0.000894664
         285   -0.780389    -0.76941  0.00089236
         286   -0.752267    -0.76935 0.000891251
         287   -0.760384   -0.769319 0.000888693
         288   -0.750374   -0.769253 0.000888038
         289   -0.753107   -0.769197 0.000886721
         290   -0.792947   -0.769279 0.000887437
         291    -0.77411   -0.769296 0.000884543
         292   -0.765079   -0.769281 0.000881631
         293    -0.76779   -0.769276 0.000878637
         294   -0.788705   -0.769342  0.00087813
         295   -0.761337   -0.769315 0.000875573
         296   -0.759451   -0.769282 0.000873249
         297   -0.776209   -0.769305  0.00087062
         298   -0.774854   -0.769324 0.000867897
         299   -0.772583   -0.769335 0.000865063
         300    -0.77557   -0.769356 0.000862429
         301   -0.774234   -0.769372 0.000859716
         302    -0.74269   -0.769283 0.000861397
         303   -0.741199   -0.769191 0.000863526
         304   -0.771314   -0.769198 0.000860714
         305   -0.773581   -0.769212 0.000858012
         306    -0.77231   -0.769222 0.000855268
         307   -0.776481   -0.769246 0.000852809
         308   -0.741427   -0.769155  0.00085481
         309   -0.771554   -0.769163 0.000852078
         310   -0.783825   -0.769211 0.000850641
         311   -0.804782   -0.769325 0.000855561
         312   -0.792636     -0.7694 0.000856075
         313    -0.78099   -0.769437 0.000854141
         314   -0.785452   -0.769488 0.000852942
         315   -0.750412   -0.769427 0.000852381
         316   -0.792835   -0.769501 0.000852897
         317   -0.800045   -0.769598 0.000855631
         318   -0.761591   -0.769572 0.000853311
         319   -0.781222   -0.769609 0.000851417
         320   -0.751175   -0.769551 0.000850703
         321   -0.765817    -0.76954 0.000848132
         322   -0.772702   -0.769549 0.000845555
         323   -0.763439   -0.769531 0.000843149
         324   -0.768678   -0.769528 0.000840551
         325   -0.777075   -0.769551 0.000838285
         326   -0.768233   -0.769547 0.000835723
         327   -0.775957   -0.769567 0.000833397
         328   -0.774707   -0.769582 0.000831004
         329   -0.768983   -0.769581  0.00082848
         330   -0.776922   -0.769603 0.000826268
         331   -0.775726   -0.769621 0.000823979
         332   -0.763002   -0.769601 0.000821738
         333   -0.778313   -0.769628 0.000819687
         334   -0.771981   -0.769635 0.000817263
         335   -0.753362   -0.769586 0.000816266
