#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           9    0.118775    0.112651  0.00149142
          10    0.113182    0.112704  0.00134323
          11    0.115933    0.112998  0.00125277
          12    0.112764    0.112978  0.00114853
          13    0.121549    0.113638    0.001235
          14    0.113956     0.11366    0.001147
          15    0.116846    0.113873  0.00109001
          16    0.118392    0.114155  0.00105785
          17    0.120475    0.114527  0.00105894
          18     0.11632    0.114627  0.00100479
          19    0.111394    0.114456 0.000966203
          20    0.118766    0.114672 0.000941615
           1    0.101697    0.101697           0
           2   0.0952172    0.098457  0.00229088
           3   0.0860908   0.0943349  0.00369596
           4    0.090622   0.0934067  0.00288618
           5    0.092708    0.093267  0.00231232
           6   0.0860544   0.0920649  0.00221749
           7    0.098458   0.0929782   0.0020803
           8   0.0995404   0.0937984  0.00197538
           9   0.0834332   0.0926468   0.0020645
          10   0.0876724   0.0921493  0.00191704
          11   0.0858264   0.0915745  0.00182691
          12   0.0916744   0.0915828  0.00167469
          13   0.0882356   0.0913254  0.00156553
          14    0.092176   0.0913861  0.00145489
          15    0.089322   0.0912485  0.00136439
          16    0.093554   0.0913926   0.0012867
          17    0.080614   0.0907586  0.00135827
          18     0.08981   0.0907059  0.00128384
          19   0.0866592   0.0904929   0.0012338
          20   0.0965004   0.0907933  0.00120813
           1   0.0738496   0.0738496           0
           2    0.079508   0.0766788  0.00200055
           3    0.085232   0.0795299  0.00268287
           4   0.0844696   0.0807648  0.00227872
           5    0.079626    0.080537  0.00183432
           6   0.0760088   0.0797823  0.00167669
           7    0.077548   0.0794631  0.00146723
           8   0.0787172   0.0793699  0.00128678
           9   0.0781128   0.0792302  0.00115136
          10   0.0764744   0.0789546   0.0010687
          11   0.0766232   0.0787427 0.000992339
          12   0.0796032   0.0788144 0.000912231
          13    0.075832    0.078585 0.000870429
          14   0.0763336   0.0784242 0.000822977
          15   0.0759856   0.0782616 0.000784005
          16   0.0805108   0.0784022 0.000747501
          17   0.0834308    0.078698 0.000759807
          18   0.0787192   0.0786992 0.000717596
          19   0.0845792   0.0790086 0.000743573
          20   0.0761964    0.078868 0.000719567
           1   0.0705124   0.0705124           0
           2   0.0685752   0.0695438 0.000684904
           3   0.0755052   0.0715309  0.00168551
           4   0.0648104   0.0698508  0.00192748
           5    0.070362    0.069953  0.00154469
           6   0.0619204   0.0686143  0.00177499
           7   0.0635272   0.0678875  0.00166355
           8     0.07156   0.0683466  0.00151762
           9   0.0717324   0.0687228  0.00139485
          10   0.0706928   0.0689198   0.0012692
          11   0.0711336   0.0691211  0.00116966
          12    0.063354   0.0686405  0.00116675
          13   0.0708736   0.0688122  0.00108958
          14   0.0613244   0.0682774  0.00113546
          15   0.0695212   0.0683603  0.00106278
          16   0.0669688   0.0682733 0.000999911
          17   0.0679976   0.0682571 0.000941224
          18   0.0659896   0.0681312 0.000897325
          19   0.0680052   0.0681245 0.000850122
          20   0.0639136    0.067914  0.00083328
           1    0.053686    0.053686           0
           2   0.0534708   0.0535784 7.60847e-05
           3   0.0588756   0.0553441  0.00144261
           4   0.0585312   0.0561409  0.00128326
           5   0.0604424   0.0570012  0.00128297
           6    0.052226   0.0562053  0.00129263
           7   0.0566308   0.0562661   0.0011094
           8   0.0588512   0.0565892   0.0010167
           9   0.0569216   0.0566262 0.000904401
