#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
         167    0.100419    0.149276  0.00442473
         168    0.162056    0.149352  0.00439905
         169  0.00301899    0.148486  0.00445742
         170    0.214821    0.148877  0.00444825
         171     0.15732    0.148926  0.00442251
         172    0.119006    0.148752  0.00440022
         173    0.305034    0.149655  0.00446655
         174    0.112843    0.149444  0.00444589
         175   0.0996105    0.149159  0.00442959
         176   0.0814917    0.148775  0.00442108
         177    0.089615     0.14844  0.00440872
         178   0.0815217    0.148064  0.00439995
         179   0.0306282    0.147408  0.00442401
         180    0.222826    0.147827  0.00441923
         181    0.163842    0.147916   0.0043957
         182    0.221079    0.148318  0.00438989
         183   0.0957329     0.14803   0.0043753
         184    0.204907     0.14834  0.00436242
         185    0.154007     0.14837  0.00433895
         186    0.112701    0.148178  0.00431986
         187    0.145669    0.148165  0.00429678
         188   0.0472543    0.147628  0.00430732
         189   0.0789035    0.147265  0.00429985
         190    0.096535    0.146998   0.0042855
         191    0.136318    0.146942  0.00426343
         192    0.211507    0.147278  0.00425446
         193      0.1612     0.14735  0.00423303
         194    0.105465    0.147134  0.00421671
         195    0.198815    0.147399  0.00420341
         196   0.0636714    0.146972  0.00420361
         197    0.199776     0.14724  0.00419081
         198   0.0653957    0.146827  0.00418998
         199    0.158356    0.146885  0.00416933
         200    0.192565    0.147113  0.00415473
         201    0.204479    0.147399  0.00414385
         202    0.122799    0.147277  0.00412513
         203   0.0696494    0.146894  0.00412249
         204   0.0558228    0.146448  0.00412639
         205    0.107524    0.146258  0.00411063
         206    0.116495    0.146114  0.00409321
         207    0.109447    0.145936  0.00407727
         208    0.139206    0.145904  0.00405779
         209    0.148618    0.145917   0.0040384
         210    0.316023    0.146727   0.0040996
         211    0.143817    0.146713  0.00408019
         212    0.077358    0.146386  0.00407404
         213    0.119326    0.146259   0.0040569
         214   0.0452938    0.145787  0.00406528
         215   0.0993133    0.145571  0.00405211
         216    0.154125    0.145611  0.00403355
         217     0.12913    0.145535  0.00401568
         218    0.215684    0.145857  0.00401013
         219   0.0463598    0.145402  0.00401747
         220   0.0357799    0.144904  0.00402999
         221    0.113595    0.144762  0.00401424
         222   0.0588603    0.144375  0.00401477
         223   0.0887708    0.144126   0.0040045
         224    0.121564    0.144025  0.00398789
         225    0.126819    0.143949   0.0039709
         226    0.133445    0.143902   0.0039536
         227    0.146649    0.143914   0.0039362
         228    0.112559    0.143777  0.00392134
         229    0.127192    0.143704  0.00390489
         230    0.186646    0.143891  0.00389237
         231   0.0332176    0.143412  0.00390489
         232    0.144243    0.143416  0.00388806
         233   0.0553876    0.143038  0.00388969
         234     0.15718    0.143098  0.00387354
         235    0.212545    0.143394  0.00386831
         236    0.274894    0.143951  0.00389184
         237    0.206938    0.144217  0.00388448
         238    0.203995    0.144468  0.00387627
         239    0.125869     0.14439  0.00386084
         240     0.10871    0.144241  0.00384761
         241    0.164342    0.144325  0.00383255
         242     0.14524    0.144329  0.00381672
         243    0.172936    0.144446  0.00380282
         244    0.124417    0.144364  0.00378812
         245    0.162099    0.144437  0.00377335
         246   0.0811446    0.144179  0.00376678
         247     0.12995    0.144122  0.00375197
         248    0.189153    0.144303  0.00374123
         249    0.212117    0.144576   0.0037361
         250    0.263558    0.145052  0.00375135
         251    0.158341    0.145105  0.00373678
         252    0.152375    0.145133  0.00372206
         253    0.039087    0.144714  0.00373088
         254  0.00675031    0.144171  0.00375552
         255    0.111719    0.144044  0.00374295
         256   0.0610899     0.14372  0.00374233
         257   0.0460613     0.14334  0.00374701
         258    0.197306    0.143549  0.00373832
         259     0.13102    0.143501   0.0037242
         260    0.120123    0.143411  0.00371096
         261     0.12153    0.143327  0.00369769
         262  0.00738551    0.142808   0.0037198
         263    0.268913    0.143287  0.00373643
         264   0.0835396    0.143061  0.00372912
         265    0.321806    0.143736  0.00377556
         266    0.120422    0.143648  0.00376238
         267   0.0985419    0.143479  0.00375208
         268    0.178142    0.143608  0.00374031
         269    0.162785     0.14368  0.00372709
         270    0.120205    0.143593   0.0037143
         271    0.259784    0.144022  0.00372525
         272   0.0388814    0.143635  0.00373156
         273    0.246429    0.144012  0.00373684
         274   0.0632305    0.143717  0.00373481
         275    0.183713    0.143862  0.00372406
         276    0.206303    0.144088  0.00371744
         277    0.105692     0.14395   0.0037066
         278    0.130915    0.143903  0.00369356
         279    0.151182    0.143929  0.00368042
         280   0.0784671    0.143695  0.00367469
         281    0.216137    0.143953  0.00367064
         282    0.256115    0.144351  0.00367911
         283     0.15758    0.144397  0.00366641
         284    0.122902    0.144322  0.00365428
         285     0.15575    0.144362  0.00364168
         286    0.241715    0.144702  0.00364482
         287    0.200014    0.144895  0.00363721
         288     0.14313    0.144889  0.00362459
         289    0.223562    0.145161  0.00362225
         290    0.208113    0.145378  0.00361626
         291   0.0926462    0.145197  0.00360837
         292      0.1181    0.145104  0.00359721
         293   0.0686655    0.144843  0.00359438
         294    0.202734     0.14504  0.00358754
         295    0.198652    0.145222  0.00357998
         296   0.0524916    0.144909  0.00358157
         297    0.148079    0.144919  0.00356952
         298    0.102533    0.144777  0.00356038
         299    0.107544    0.144653  0.00355065
         300     0.21699    0.144894  0.00354699
         301    0.189148    0.145041  0.00353825
         302    0.155578    0.145076  0.00352671
         303    0.231439    0.145361  0.00352657
         304   0.0730801    0.145123  0.00352297
         305   0.0827841    0.144918  0.00351735
         306    0.151347    0.144939  0.00350592
         307   0.0587306    0.144659  0.00350572
         308   0.0442018    0.144332  0.00350948
         309    0.207303    0.144536  0.00350404
         310    0.166923    0.144609  0.00349348
         311    0.098283     0.14446  0.00348542
         312    0.150235    0.144478   0.0034743
         313    0.198974    0.144652  0.00346755
         314    0.130599    0.144607   0.0034568
         315    0.176486    0.144709  0.00344731
         316    0.188579    0.144847  0.00343919
         317   0.0999688    0.144706  0.00343126
         318     0.28566    0.145149  0.00344898
         319    0.118613    0.145066  0.00343917
         320    0.156813    0.145103  0.00342862
         321    0.249196    0.145427  0.00343324
         322    0.171656    0.145508  0.00342354
         323    0.149588    0.145521  0.00341296
         324    0.181398    0.145632  0.00340423
         325   0.0945264    0.145474  0.00339738
         326     0.17652     0.14557  0.00338829
         327    0.172995    0.145654  0.00337897
         328    0.216216    0.145869  0.00337551
         329    0.101003    0.145732    0.003368
         330   0.0483794    0.145437  0.00337069
         331    0.177667    0.145535  0.00336192
         332   0.0977301    0.145391  0.00335487
         333    0.024582    0.145028  0.00336436
         334    0.227624    0.145275  0.00336336
         335    0.149104    0.145287  0.00335334
         336    0.184246    0.145403  0.00334536
         337   0.0636931     0.14516  0.00334421
         338    0.169095    0.145231  0.00333507
         339    0.197643    0.145386  0.00332881
         340    0.211921    0.145581  0.00332477
         341    0.149163    0.145592  0.00331503
         342   0.0160756    0.145213   0.0033269
         343    0.256575    0.145538  0.00333301
         344    0.134522    0.145506  0.00332347
         345    0.212796    0.145701  0.00331956
         346    0.129104    0.145653  0.00331031
         347    0.139527    0.145635  0.00330082
         348    0.151566    0.145652  0.00329137
         349    0.200064    0.145808  0.00328563
         350    0.276887    0.146183  0.00329752
         351    0.152274      0.1462  0.00328817
         352   0.0882948    0.146035  0.00328294
         353   0.0701752    0.145821  0.00328067
         354    0.101178    0.145694  0.00327383
         355    0.185184    0.145806  0.00326649
         356     0.20364    0.145968  0.00326135
         357    0.153017    0.145988  0.00325228
         358    0.134693    0.145956  0.00324335
         359    0.071084    0.145748  0.00324101
         360    0.105422    0.145636  0.00323394
         361    0.094498    0.145494  0.00322809
         362    0.210357    0.145673  0.00322414
         363    0.110096    0.145575  0.00321675
         364    0.119915    0.145505  0.00320868
         365   0.0945331    0.145365  0.00320293
         366    0.224872    0.145582  0.00320153
         367    0.189192    0.145701  0.00319502
         368   0.0860651    0.145539  0.00319044
         369    0.167298    0.145598  0.00318234
         370   0.0340007    0.145296    0.003188
         371    0.149372    0.145307  0.00317942
         372    0.179219    0.145399  0.00317218
         373   0.0842495    0.145235  0.00316791
         374   0.0662341    0.145023  0.00316648
         375    0.293452    0.145419  0.00318268
         376    0.159739    0.145457  0.00317444
         377    0.277138    0.145807  0.00318518
         378    0.142726    0.145798  0.00317676
         379   0.0463232    0.145536   0.0031792
         380    0.140009    0.145521  0.00317087
         381    0.225184    0.145731  0.00316943
         382    0.151466    0.145746  0.00316117
         383    0.228416    0.145961  0.00316028
         384    0.206042    0.146118  0.00315592
         385    0.197972    0.146253   0.0031506
         386    0.186814    0.146358  0.00314419
         387   0.0630514    0.146142  0.00314342
         388    0.152277    0.146158  0.00313536
         389    0.150628     0.14617  0.00312732
         390    0.221521    0.146363  0.00312526
         391    0.141634    0.146351  0.00311729
         392    0.181319     0.14644  0.00311062
         393    0.127009    0.146391   0.0031031
         394   0.0546654    0.146158  0.00310394
         395   0.0870029    0.146008  0.00309969
         396     0.11956    0.145941  0.00309259
         397    0.256131    0.146219  0.00309723
         398    0.136749    0.146195  0.00308953
         399    0.213038    0.146363  0.00308633
         400    0.325168     0.14681  0.00311082
         401    0.115275    0.146731  0.00310405
         402    0.143602    0.146723  0.00309634
         403    0.253326    0.146988  0.00309994
         404    0.129074    0.146943  0.00309258
         405     0.17168    0.147004  0.00308555
         406   0.0967029     0.14688  0.00308044
         407    0.117604    0.146809  0.00307371
         408    0.231811    0.147017  0.00307323
         409    0.204343    0.147157  0.00306891
         410     0.10698    0.147059  0.00306298
         411    0.210048    0.147212  0.00305936
         412    0.136248    0.147186  0.00305205
         413    0.136612     0.14716  0.00304477
         414    0.175618    0.147229  0.00303819
         415    0.165376    0.147273  0.00303119
         416    0.128171    0.147227  0.00302425
         417    0.184912    0.147317  0.00301835
         418    0.276297    0.147626  0.00302686
         419    0.148019    0.147627  0.00301963
         420    0.211697    0.147779  0.00301629
         421    0.232666    0.147981  0.00301586
         422    0.215623    0.148141  0.00301297
         423   0.0881091    0.147999  0.00300919
         424      0.1043    0.147896  0.00300386
         425    0.107888    0.147802  0.00299826
         426   0.0710628    0.147622  0.00299663
         427    0.116081    0.147548  0.00299052
         428     0.16644    0.147592  0.00298386
         429    0.148088    0.147593  0.00297691
         430   0.0477856    0.147361  0.00297902
         431    0.165074    0.147402  0.00297239
         432   0.0121052    0.147089  0.00298196
         433     0.21665     0.14725   0.0029794
         434   0.0808973    0.147097  0.00297646
         435   0.0257841    0.146818  0.00298265
         436    0.160787     0.14685  0.00297598
         437    0.143326    0.146842  0.00296918
         438    0.242656    0.147061  0.00297045
         439    0.225639     0.14724  0.00296907
         440   0.0798713    0.147086  0.00296627
         441    0.130805     0.14705  0.00295977
         442    0.075274    0.146887  0.00295753
         443    0.140649    0.146873  0.00295088
         444    0.235158    0.147072  0.00295093
         445     0.23683    0.147274  0.00295118
         446    0.107564    0.147185  0.00294591
         447     0.18625    0.147272  0.00294062
         448    0.119282    0.147209  0.00293472
         449    0.285412    0.147517  0.00294428
         450   0.0939683    0.147398  0.00294014
         451   0.0932795    0.147278  0.00293607
         452    0.202529    0.147401  0.00293211
         453    0.169852     0.14745  0.00292606
         454   0.0910849    0.147326  0.00292225
         455    0.134759    0.147298  0.00291596
         456    0.191506    0.147395  0.00291117
         457    0.103636      0.1473  0.00290638
         458     0.10185      0.1472  0.00290172
         459    0.106557    0.147112  0.00289675
         460   0.0995142    0.147008   0.0028923
