#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.981144   -0.981144           0
           2   -0.976552   -0.978848  0.00162352
           3   -0.971808   -0.976501  0.00220061
           4   -0.969624   -0.974782  0.00222286
           5     -0.9688   -0.973586  0.00207543
           6    -0.96656   -0.972415  0.00203318
           7   -0.975104   -0.972799  0.00177865
           8   -0.978328    -0.97349  0.00168526
           9   -0.971896   -0.973313  0.00150729
          10   -0.973624   -0.973344  0.00135688
          11    -0.97256   -0.973273   0.0012354
          12   -0.973112   -0.973259  0.00113252
          13   -0.964048   -0.972551  0.00124752
          14   -0.976048   -0.972801  0.00118316
          15   -0.975472   -0.972979  0.00111761
          16   -0.971832   -0.972907  0.00105005
          17    -0.97996   -0.973322   0.0010671
          18   -0.977192   -0.973537  0.00102925
          19     -0.9806   -0.973909  0.00104005
          20   -0.978624   -0.974144  0.00101442
           1   -0.948504   -0.948504           0
           2   -0.944584   -0.946544  0.00138593
           3   -0.942688   -0.945259  0.00139824
           4   -0.951792   -0.946892  0.00176084
           5    -0.94308    -0.94613  0.00156504
           6   -0.938272    -0.94482  0.00176923
           7   -0.939144   -0.944009  0.00169212
           8   -0.953616    -0.94521  0.00185849
           9   -0.955288    -0.94633  0.00196053
          10   -0.953744   -0.947071   0.0018995
          11   -0.952672    -0.94758  0.00179376
          12   -0.947368   -0.947563  0.00164437
          13   -0.935848   -0.946662  0.00174743
          14   -0.938272   -0.946062  0.00172231
          15   -0.946864   -0.946116  0.00160832
          16   -0.945352   -0.946068   0.0015085
          17   -0.947616   -0.946159  0.00142251
          18   -0.945504   -0.946123  0.00134395
          19   -0.957136   -0.946702  0.00139262
          20   -0.946424   -0.946688  0.00132306
           1    -0.91504    -0.91504           0
           2     -0.9122    -0.91362  0.00100409
           3   -0.912192   -0.913144 0.000774041
           4    -0.91848   -0.914478  0.00129294
           5   -0.917024   -0.914987  0.00113018
           6   -0.918912   -0.915641  0.00111516
           7   -0.922616   -0.916638  0.00132839
           8   -0.913064   -0.916191  0.00123517
           9   -0.913272   -0.915867  0.00113971
          10   -0.920112   -0.916291  0.00110198
          11   -0.914856   -0.916161  0.00100949
          12   -0.912008   -0.915815 0.000982895
          13   -0.918136   -0.915993 0.000923365
          14   -0.916448   -0.916026 0.000857982
          15   -0.912344    -0.91578 0.000835154
          16   -0.915768    -0.91578 0.000782957
          17   -0.914816   -0.915723 0.000738949
          18   -0.908752   -0.915336 0.000792908
          19   -0.910896   -0.915102  0.00078485
          20   -0.907616   -0.914728 0.000830074
           1   -0.885112   -0.885112           0
           2     -0.8832   -0.884156 0.000675994
           3   -0.884912   -0.884408 0.000495412
           4    -0.87552   -0.882186  0.00195985
           5   -0.879584   -0.881666  0.00163551
           6   -0.883664   -0.881999  0.00139643
           7   -0.882392   -0.882055  0.00119807
           8   -0.880864   -0.881906  0.00105752
