#   N_BLOCK:  ACCEPTANCE:
           5    0.293883
           6    0.294442
           7    0.295003
           8    0.295566
           9    0.296124
          10    0.296678
          11    0.297226
          12    0.297772
          13    0.298317
          14    0.298863
          15    0.299404
          16    0.299944
          17    0.300473
          18     0.30101
          19    0.301536
          20    0.302061
           1    0.303193
           2    0.303743
           3    0.304289
           4    0.304838
           5     0.30538
           6     0.30592
           7    0.306463
           8    0.307004
           9    0.307541
          10    0.308078
          11    0.308614
          12    0.309144
          13    0.309671
          14     0.31019
          15    0.310709
          16    0.311229
          17    0.311748
          18     0.31226
          19    0.312772
          20    0.313283
