#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.663372    0.663372           0
           2    0.674155    0.668763  0.00381257
           3    0.666163    0.667897   0.0026384
           4    0.693015    0.674176  0.00578715
           5    0.721299    0.683601  0.00961722
           6    0.713572    0.688596  0.00922078
           7    0.722465    0.693434  0.00908468
           8    0.737651    0.698961  0.00948252
           9    0.737787    0.703275  0.00935889
          10     0.71642     0.70459  0.00851481
          11    0.698879    0.704071  0.00775655
          12    0.694909    0.703307  0.00714764
          13    0.679435    0.701471  0.00682964
          14    0.681184    0.700022  0.00649371
          15    0.679329    0.698642   0.0062056
          16    0.669909    0.696846  0.00607203
          17    0.665865    0.695024  0.00598209
          18    0.674838    0.693902  0.00575391
          19    0.665493    0.692407  0.00564201
          20    0.665692    0.691071  0.00551577
