#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.318297    0.318297           0
           2    0.334145    0.326221  0.00560319
           3    0.279747     0.31073   0.0131888
           4    0.334078    0.316567   0.0111085
           5    0.324526    0.318159  0.00900009
           6    0.320948    0.318623  0.00751207
           7    0.327397    0.319877  0.00654265
           8    0.311679    0.318852  0.00580451
           9    0.335368    0.320687  0.00544191
          10    0.306905    0.319309  0.00506924
          11    0.347602    0.321881  0.00522028
          12      0.3357    0.323033  0.00491063
          13    0.344707      0.3247   0.0048076
          14    0.302924    0.323145  0.00470909
          15    0.343432    0.324497  0.00458527
          16    0.319443    0.324181  0.00430955
          17    0.324982    0.324228  0.00405631
          18    0.317044    0.323829  0.00385054
          19    0.322245    0.323746  0.00364879
          20    0.325203    0.323819  0.00346708
          21    0.312151    0.323263   0.0033462
          22    0.329974    0.323568  0.00320797
          23    0.284712    0.321879  0.00348506
          24     0.34171    0.322705  0.00343641
          25    0.330512    0.323017  0.00331311
          26    0.324572    0.323077  0.00318623
          27    0.299057    0.322187     0.00319
          28    0.328446    0.322411  0.00308389
          29    0.321536    0.322381  0.00297769
          30    0.341206    0.323008  0.00294382
          31    0.325981    0.323104  0.00285042
          32     0.30655    0.322587   0.0028079
          33    0.308487     0.32216  0.00275512
          34    0.304695    0.321646  0.00272155
          35    0.324067    0.321715  0.00264467
          36    0.341877    0.322275  0.00262984
          37    0.307651     0.32188   0.0025883
          38    0.320476    0.321843  0.00252045
          39    0.343317    0.322394  0.00251525
          40    0.334318    0.322692  0.00246997
          41    0.339591    0.323104  0.00244388
          42    0.308081    0.322746  0.00241173
          43    0.330843    0.322934  0.00236298
          44    0.342852    0.323387  0.00235223
          45    0.326969    0.323467  0.00230131
          46    0.314378    0.323269  0.00225975
          47    0.322022    0.323243  0.00221182
          48    0.320929    0.323194  0.00216627
          49    0.336851    0.323473  0.00213991
          50    0.353779    0.324079  0.00218127
          51    0.331762     0.32423  0.00214369
          52    0.350328    0.324732  0.00216042
          53    0.320678    0.324655  0.00212101
          54    0.346322    0.325057  0.00211934
          55    0.336439    0.325263  0.00209089
          56    0.309326    0.324979  0.00207283
          57    0.327186    0.325018  0.00203682
          58    0.314674    0.324839   0.0020095
          59    0.340076    0.325098  0.00199197
          60    0.333578    0.325239  0.00196378
          61    0.333444    0.325373  0.00193618
          62    0.332241    0.325484  0.00190812
          63    0.299304    0.325069  0.00192255
          64    0.330875    0.325159  0.00189465
          65    0.335027    0.325311  0.00187157
          66     0.33968    0.325529  0.00185584
          67    0.316721    0.325397  0.00183279
          68    0.338225    0.325586  0.00181552
          69    0.333508    0.325701  0.00179283
          70    0.326617    0.325714  0.00176727
          71    0.330508    0.325781  0.00174367
          72    0.344811    0.326046  0.00173936
          73    0.330265    0.326104   0.0017165
          74    0.332521     0.32619  0.00169549
          75    0.314997    0.326041  0.00167944
          76    0.308127    0.325805   0.0016738
          77    0.311363    0.325618  0.00166254
          78    0.340091    0.325803  0.00165155
          79    0.320345    0.325734  0.00163209
          80    0.321994    0.325687  0.00161235
          81    0.328476    0.325722  0.00159282
          82    0.342662    0.325928  0.00158673
          83    0.320195    0.325859  0.00156912
          84    0.313524    0.325713  0.00155729
          85    0.315147    0.325588  0.00154393
          86    0.315515    0.325471  0.00153041
          87    0.310242    0.325296   0.0015228
          88     0.32244    0.325264  0.00150584
          89    0.304062    0.325025  0.00150764
          90    0.330683    0.325088   0.0014922
          91    0.322674    0.325062  0.00147604
          92    0.323073     0.32504  0.00146015
