#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0978025  -0.0978025           0
           2    -0.17069   -0.134246   0.0257698
           3  0.00577035  -0.0875742   0.0418013
           4   -0.182137   -0.111215   0.0374439
           5     -0.1022   -0.109412   0.0299985
           6   -0.165948   -0.118835   0.0264372
           7   -0.208953   -0.131709   0.0256039
           8  -0.0959813   -0.127243   0.0227896
           9   -0.190025   -0.134219   0.0212983
          10    -0.17309   -0.138106   0.0195199
          11   -0.328709   -0.155433   0.0242456
          12   -0.201545   -0.159276   0.0225276
          13   -0.220843   -0.164012   0.0212867
          14 -0.00687616   -0.152788   0.0225318
          15   -0.201573    -0.15604   0.0212631
          16   -0.174608   -0.157201   0.0199658
          17    -0.20293   -0.159891   0.0189717
          18   -0.211022   -0.162731   0.0181292
          19   -0.199571    -0.16467   0.0172784
          20    -0.18695   -0.165784   0.0164503
          21   -0.211679    -0.16797   0.0158115
          22   -0.210453   -0.169901   0.0152102
          23   -0.037303   -0.164136   0.0156033
          24   -0.316093   -0.170467   0.0161869
          25   -0.168482   -0.170388   0.0155396
          26   -0.195616   -0.171358   0.0149722
          27 -0.00373944    -0.16515   0.0156519
          28   -0.132908   -0.163998   0.0151352
          29   -0.153543   -0.163638   0.0146176
          30   -0.261773   -0.166909   0.0144917
          31    -0.18133   -0.167374   0.0140317
          32   -0.163607   -0.167257   0.0135937
          33  -0.0717834   -0.164363   0.0134862
          34   -0.145758   -0.163816   0.0131006
          35   -0.163383   -0.163804   0.0127263
          36   -0.227591   -0.165576   0.0124955
          37   -0.139141   -0.164861   0.0121782
          38   -0.201796   -0.165833   0.0118965
          39   -0.193851   -0.166552   0.0116131
          40   -0.161262   -0.166419   0.0113235
          41   -0.193221   -0.167073   0.0110662
          42   -0.157194   -0.166838   0.0108052
          43  -0.0813737    -0.16485   0.0107352
          44   -0.233332   -0.166407   0.0106034
          45   -0.210401   -0.167384   0.0104128
          46   -0.156071   -0.167138   0.0101893
          47   -0.253594   -0.168978   0.0101372
          48   -0.156079   -0.168709  0.00992955
          49   -0.206135   -0.169473  0.00975624
          50   -0.255257   -0.171189  0.00971079
          51     -0.2839   -0.173399  0.00976863
          52   -0.142525   -0.172805   0.0095988
          53   -0.175087   -0.172848  0.00941779
          54   -0.225123   -0.173816  0.00929301
          55   -0.219971   -0.174655  0.00916185
          56   -0.130437   -0.173866  0.00903221
          57   -0.164357   -0.173699  0.00887529
          58   -0.254508   -0.175092  0.00883095
          59   -0.280037   -0.176871   0.0088586
          60   -0.212654   -0.177467  0.00873101
          61   -0.219141    -0.17815  0.00861456
          62    -0.16373   -0.177918  0.00847876
          63   -0.111546   -0.176864  0.00840937
          64   -0.213068    -0.17743  0.00829698
          65   -0.264273   -0.178766   0.0082762
          66   -0.293159   -0.180499  0.00833032
          67   -0.185818   -0.180579  0.00820636
          68   -0.149144   -0.180116  0.00809869
          69   -0.144088   -0.179594  0.00799813
          70   -0.113264   -0.178647  0.00793981
          71   -0.196695   -0.178901  0.00783205
          72   -0.242176    -0.17978  0.00777242
          73   -0.122744   -0.178998  0.00770512
          74   -0.156612   -0.178696  0.00760693
          75   -0.167703   -0.178549  0.00750692
          76   -0.115204   -0.177716  0.00745427
          77  -0.0710174    -0.17633  0.00748515
          78   -0.190503   -0.176512  0.00739139
          79   -0.213169   -0.176976  0.00731238
          80   -0.288704   -0.178372  0.00735313
          81   -0.281445   -0.179645  0.00737164
          82   -0.247142   -0.180468  0.00732755
          83   -0.150512   -0.180107  0.00724815
          84   -0.108439   -0.179254   0.0072119
          85    -0.17511   -0.179205  0.00712722
          86   -0.187339     -0.1793  0.00704497
          87   -0.205221   -0.179598   0.0069703
          88  -0.0364445   -0.177971  0.00707837
          89   -0.140803   -0.177553  0.00701115
          90   -0.153581   -0.177287   0.0069383
          91   -0.190534   -0.177433  0.00686358
          92    -0.14042    -0.17703  0.00680076
          93   -0.253259    -0.17785  0.00677685
          94   -0.206718   -0.178157  0.00671171
          95   -0.195147   -0.178336  0.00664344
          96  -0.0977661   -0.177497  0.00662704
          97   -0.267009   -0.178419  0.00662266
          98   -0.288197    -0.17954  0.00664914
          99   -0.187678   -0.179622  0.00658249
         100   -0.153201   -0.179358  0.00652196
         101   -0.279327   -0.180347  0.00653206
         102   -0.249602   -0.181026  0.00650322
         103   -0.220921   -0.181414   0.0064516
         104     -0.1868   -0.181465  0.00638978
         105  -0.0907653   -0.180602  0.00638704
         106   -0.190923   -0.180699  0.00632753
         107   -0.184576   -0.180735   0.0062685
         108    -0.24509   -0.181331  0.00623871
         109   -0.149098   -0.181035  0.00618848
         110   -0.121928   -0.180498  0.00615551
         111    -0.14099   -0.180142  0.00611033
         112   -0.201805   -0.180336  0.00605884
         113   0.0219434   -0.178546  0.00626408
         114  -0.0861202   -0.177735  0.00626138
         115   -0.214176   -0.178052  0.00621494
         116   -0.236819   -0.178558  0.00618198
         117   -0.178777    -0.17856  0.00612914
         118   -0.185608    -0.17862  0.00607749
         119   -0.110966   -0.178051  0.00605295
         120   -0.254532   -0.178689  0.00603597
         121  -0.0694309   -0.177786  0.00605325
         122   -0.267189   -0.178519  0.00604783
         123  -0.0883622   -0.177786  0.00604291
         124    -0.14642   -0.177533  0.00599947
         125   -0.211864   -0.177807  0.00595776
         126   -0.216861   -0.178117  0.00591853
         127      -0.137   -0.177793  0.00588078
         128  -0.0356961   -0.176683  0.00593869
         129   -0.151683   -0.176489  0.00589582
         130   -0.175228    -0.17648  0.00585047
         131   -0.129991   -0.176125  0.00581657
         132   -0.213386   -0.176407  0.00577935
         133   -0.207284   -0.176639  0.00574055
         134   -0.131628   -0.176303  0.00570753
         135   -0.224562   -0.176661  0.00567644
         136   -0.139793    -0.17639  0.00564117
         137   -0.196315   -0.176535  0.00560187
         138   -0.195884   -0.176675  0.00556303
         139   -0.268872   -0.177339  0.00556241
         140   -0.200323   -0.177503   0.0055251
         141   -0.201905   -0.177676  0.00548862
         142   -0.194305   -0.177793  0.00545122
         143   -0.138025   -0.177515  0.00542019
         144   -0.117273   -0.177097  0.00539867
         145   -0.219728   -0.177391  0.00536944
         146   -0.230123   -0.177752  0.00534479
         147   -0.212638   -0.177989   0.0053137
         148    -0.21314   -0.178227   0.0052831
         149   0.0109673   -0.176957  0.00539808
         150   -0.180106   -0.176978  0.00536213
         151   -0.219536    -0.17726  0.00533402
         152   -0.139923   -0.177014  0.00530458
         153   -0.115181    -0.17661  0.00528529
         154   -0.180375   -0.176634  0.00525102
         155   -0.176605   -0.176634  0.00521714
         156   -0.117694   -0.176256  0.00519736
         157 -0.00997856   -0.175197  0.00527106
         158   -0.132247   -0.174925  0.00524471
         159    -0.12406   -0.174606  0.00522147
         160   -0.173391   -0.174598  0.00518884
         161   -0.131323   -0.174329  0.00516357
         162   -0.265043   -0.174889  0.00516197
         163   -0.218079   -0.175154   0.0051371
         164   -0.174825   -0.175152  0.00510577
         165    -0.20433   -0.175329  0.00507789
         166   -0.124622   -0.175023  0.00505648
         167   -0.225188   -0.175324  0.00503512
         168   -0.169745   -0.175291  0.00500525
         169   -0.335701    -0.17624  0.00506484
         170   -0.108206    -0.17584  0.00505083
         171   -0.183582   -0.175885   0.0050215
