#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          13   -0.756859   -0.756411 0.000183781
          14   -0.757453   -0.756485 0.000185104
          15   -0.757142   -0.756529 0.000177864
          16   -0.755944   -0.756493 0.000170465
          17   -0.758511   -0.756611 0.000197503
          18   -0.755784   -0.756565 0.000191809
          19   -0.756223   -0.756547 0.000182558
          20     -0.7569   -0.756565  0.00017428
           1   -0.725065   -0.725065           0
           2    -0.72547   -0.725267 0.000143141
           3   -0.724985   -0.725173 0.000122576
           4   -0.725847   -0.725342 0.000172442
           5   -0.725192   -0.725312 0.000140529
           6   -0.724621   -0.725197 0.000157382
           7   -0.724561   -0.725106 0.000158959
           8   -0.724823    -0.72507  0.00014296
           9   -0.725586   -0.725128 0.000138074
          10   -0.725628   -0.725178 0.000133037
          11   -0.723979   -0.725069 0.000159468
          12    -0.72415   -0.724992  0.00016354
          13   -0.725409   -0.725024 0.000154066
          14   -0.724921   -0.725017 0.000143238
          15   -0.724499   -0.724982 0.000137793
          16   -0.724461    -0.72495  0.00013297
          17   -0.726666   -0.725051  0.00015893
          18   -0.724106   -0.724998 0.000158522
          19   -0.725827   -0.725042 0.000156066
          20   -0.725982   -0.725089 0.000155177
           1   -0.696702   -0.696702           0
           2   -0.694636   -0.695669 0.000730297
           3   -0.694034   -0.695124 0.000659646
           4   -0.694227     -0.6949 0.000531502
           5   -0.696323   -0.695184 0.000495595
           6   -0.693936   -0.694976 0.000454559
           7    -0.69602   -0.695125 0.000413331
           8   -0.694956   -0.695104 0.000362204
           9   -0.695622   -0.695162   0.0003265
          10   -0.695069   -0.695153  0.00029398
          11   -0.695685   -0.695201 0.000271215
          12   -0.693957   -0.695097 0.000267703
          13   -0.695341   -0.695116 0.000247765
          14   -0.695064   -0.695112 0.000230096
          15   -0.694682   -0.695084 0.000216533
          16   -0.694545    -0.69505 0.000205595
          17   -0.693984   -0.694987 0.000202834
          18   -0.695426   -0.695012 0.000193023
          19   -0.693836    -0.69495  0.00019252
          20   -0.696365   -0.695021 0.000195469
           1   -0.667223   -0.667223           0
           2   -0.666919   -0.667071  0.00010735
           3   -0.667593   -0.667245 0.000159239
           4   -0.667742   -0.667369 0.000160783
           5   -0.667364   -0.667368  0.00012863
           6   -0.666227   -0.667178 0.000204103
           7   -0.665816   -0.666983 0.000251124
           8   -0.666582   -0.666933 0.000224679
           9   -0.666834   -0.666922 0.000199984
          10   -0.667736   -0.667004  0.00019584
          11   -0.665598   -0.666876 0.000215729
          12   -0.666839   -0.666873 0.000197773
          13    -0.66532   -0.666753 0.000215638
          14   -0.667123    -0.66678  0.00020185
          15   -0.666529   -0.666763 0.000189087
          16    -0.66829   -0.666858 0.000199915
          17   -0.667216   -0.666879 0.000189257
          18   -0.666702    -0.66687 0.000178998
          19   -0.665714   -0.666809 0.000179614
          20   -0.666277   -0.666782 0.000172592
