#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          13   -0.757659   -0.756429 0.000226092
          14   -0.756373   -0.756425 0.000209977
          15    -0.75644   -0.756426 0.000195981
          16   -0.758298   -0.756543 0.000215852
          17   -0.756279   -0.756527  0.00020371
          18   -0.756145   -0.756506 0.000193498
          19   -0.757174   -0.756541 0.000186477
          20   -0.756097   -0.756519 0.000178468
           1   -0.725296   -0.725296           0
           2   -0.724635   -0.724966 0.000233874
           3   -0.725807   -0.725246 0.000276949
           4   -0.724821    -0.72514 0.000227202
           5   -0.725044    -0.72512 0.000182563
           6   -0.724794   -0.725066 0.000160032
           7    -0.72474   -0.725019 0.000143801
           8   -0.725552   -0.725086 0.000140415
           9    -0.72532   -0.725112   0.0001272
          10   -0.724395    -0.72504 0.000133187
          11    -0.72425   -0.724969 0.000139114
          12   -0.725221    -0.72499 0.000129104
          13    -0.72487    -0.72498 0.000119501
          14   -0.724351   -0.724935 0.000119114
          15   -0.724426   -0.724901  0.00011591
          16   -0.726711   -0.725015 0.000154267
          17   -0.724642   -0.724993 0.000146742
          18   -0.725247   -0.725007 0.000139268
          19   -0.726029   -0.725061 0.000141952
          20   -0.726084   -0.725112 0.000143774
           1   -0.694636   -0.694636           0
           2   -0.694034   -0.694335 0.000213026
           3   -0.694227   -0.694299  0.00014504
           4   -0.696323   -0.694805   0.0004515
           5   -0.693936   -0.694631  0.00039321
           6    -0.69602   -0.694863 0.000389855
           7   -0.694956   -0.694876 0.000334391
           8   -0.695622   -0.694969 0.000305326
           9   -0.695069    -0.69498 0.000271603
          10   -0.695685   -0.695051 0.000253425
          11   -0.693957   -0.694951 0.000249146
          12   -0.695341   -0.694984 0.000230486
          13   -0.695064    -0.69499 0.000212838
          14   -0.694682   -0.694968 0.000198766
          15   -0.694545    -0.69494   0.0001875
          16   -0.693984    -0.69488 0.000185049
          17   -0.695426   -0.694912 0.000176926
          18   -0.693836   -0.694852 0.000176905
          19   -0.696365   -0.694932 0.000184643
          20   -0.696392   -0.695005 0.000189291
           1   -0.666716   -0.666716           0
           2   -0.667583    -0.66715 0.000306604
           3   -0.667744   -0.667348 0.000260684
           4   -0.667338   -0.667345 0.000195523
           5   -0.666301   -0.667137 0.000243651
           6   -0.665971   -0.666942 0.000269598
           7   -0.666334   -0.666855 0.000244688
           8   -0.667069   -0.666882 0.000215552
           9    -0.66744   -0.666944 0.000200315
          10   -0.666036   -0.666853 0.000199797
          11   -0.666251   -0.666798 0.000188983
          12   -0.665616     -0.6667 0.000197272
          13   -0.666764   -0.666705 0.000182159
          14   -0.667012   -0.666727 0.000170462
          15   -0.668366   -0.666836 0.000190953
          16   -0.667415   -0.666872 0.000182417
          17   -0.665832   -0.666811 0.000181656
          18   -0.665723   -0.666751 0.000181335
          19   -0.667256   -0.666777 0.000173732
          20   -0.667251   -0.666801 0.000166655
           1   -0.639438   -0.639438           0
           2   -0.640333   -0.639885 0.000316509
           3   -0.639881   -0.639884  0.00021101
           4   -0.640689   -0.640085 0.000235456
           5   -0.640235   -0.640115 0.000190259
           6   -0.640536   -0.640185 0.000171016
           7   -0.639591     -0.6401 0.000166341
           8   -0.640114   -0.640102 0.000145557
           9   -0.639441   -0.640029 0.000146733
          10   -0.639888   -0.640015 0.000132734
          11   -0.640808   -0.640087 0.000138876
          12   -0.639254   -0.640017 0.000143616
          13   -0.640864   -0.640082  0.00014659
          14   -0.640319   -0.640099 0.000137087
          15   -0.639938   -0.640089  0.00012837
          16   -0.640445   -0.640111 0.000122262
          17   -0.640383   -0.640127 0.000116115
          18   -0.640176    -0.64013 0.000109697
          19   -0.639201   -0.640081 0.000114292
          20   -0.640776   -0.640115 0.000113745
           1   -0.614326   -0.614326           0
           2   -0.614629   -0.614478 0.000107268
           3   -0.615484   -0.614813 0.000283027
           4   -0.615417   -0.614964 0.000249253
           5   -0.614832   -0.614938 0.000200795
           6   -0.614997   -0.614948 0.000167573
           7     -0.6148   -0.614926 0.000144952
           8    -0.61588   -0.615046 0.000168875
           9   -0.615106   -0.615052 0.000150243
          10   -0.616394   -0.615187 0.000185729
          11   -0.615685   -0.615232 0.000174295
          12   -0.615631   -0.615265 0.000162912
