#   N_BLOCK:  ACCEPTANCE:
           1      0.0146
           2   0.0148674
           3   0.0143954
           4   0.0139236
           5   0.0138805
           6   0.0139633
           7   0.0137815
           8   0.0137832
           9   0.0137404
          10   0.0137646
          11   0.0137759
          12   0.0137087
          13   0.0137038
          14   0.0136091
          15   0.0136341
          16   0.0136013
          17   0.0136319
          18   0.0135557
          19    0.013479
          20   0.0134808
           1   0.0147047
           2   0.0157241
           3   0.0165883
           4   0.0174396
           5   0.0183169
           6   0.0189557
           7   0.0197804
           8   0.0204199
           9    0.020987
          10   0.0214702
          11   0.0220072
          12   0.0224291
          13   0.0228839
          14   0.0232512
          15   0.0236082
          16   0.0240269
          17   0.0243218
          18   0.0246509
          19   0.0250172
          20   0.0253237
           1   0.0265078
           2   0.0275109
           3   0.0285517
           4   0.0295131
           5   0.0304172
           6   0.0312394
           7   0.0320618
           8   0.0328731
           9   0.0336464
          10   0.0343565
          11   0.0350889
          12   0.0357943
          13   0.0364312
          14     0.03704
          15    0.037646
          16   0.0381918
          17   0.0387739
          18   0.0392882
          19   0.0398385
          20   0.0403216
           1   0.0414502
           2   0.0424755
           3   0.0434854
           4   0.0444395
           5   0.0453733
           6   0.0463142
           7   0.0471999
           8   0.0480371
           9   0.0488347
          10   0.0496281
          11    0.050441
          12   0.0512158
          13   0.0519512
          14   0.0526776
          15   0.0533696
          16   0.0540397
          17   0.0546944
          18   0.0553618
          19   0.0559947
          20   0.0566069
           1   0.0577286
           2   0.0587363
           3   0.0597303
           4   0.0606886
           5   0.0616345
           6   0.0625553
           7   0.0634643
           8   0.0643257
           9   0.0651794
          10   0.0660307
          11   0.0668472
          12   0.0676529
          13   0.0684453
          14   0.0692143
          15   0.0699746
          16   0.0707028
          17   0.0714301
          18   0.0721293
          19   0.0728165
          20   0.0735056
           1   0.0746245
           2   0.0756134
           3   0.0765928
           4    0.077534
           5   0.0784726
           6   0.0793738
           7   0.0802697
           8   0.0811431
           9   0.0819843
          10   0.0828194
          11   0.0836421
          12   0.0844572
          13   0.0852425
          14   0.0860375
          15   0.0868097
          16   0.0875794
          17   0.0883394
          18   0.0890772
          19   0.0897936
          20   0.0904919
           1   0.0915735
           2   0.0925272
           3   0.0934698
           4   0.0943921
           5   0.0953067
           6   0.0962073
           7   0.0970994
           8   0.0979737
           9   0.0988302
          10   0.0996851
          11     0.10052
          12    0.101347
          13    0.102163
          14    0.102965
          15    0.103746
          16    0.104525
          17    0.105286
          18    0.106034
          19     0.10678
          20    0.107505
