GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0     438.017     500.789
1     438.017     493.887
2     438.017     488.105
3     438.017     481.982
4     432.981     477.032
5      429.16     472.697
6     415.705     467.734
7     407.091     462.567
8     407.091     457.572
9     394.718     452.975
10     394.718     448.004
11     394.718     443.603
12     374.879     438.499
13     373.842      433.48
14     373.842     428.823
15     373.842     424.166
16     373.842     419.483
17     366.709     415.145
18     366.709     411.039
19     363.087     407.657
20       359.3     403.985
21     351.089     400.153
22     351.089     396.728
23     334.043     393.217
24     334.043     389.397
25     334.043     385.906
26     334.043     382.777
27     334.043     379.788
28     334.043     377.121
29     334.043     374.579
30       328.3     372.084
31       328.3     369.785
32       328.3     367.827
33     320.432     364.959
34     320.432     362.408
35     320.432     359.906
36     320.432     357.609
37     319.971     354.865
38     319.971     352.613
39     319.971     350.681
40     314.178     349.361
41     314.178     347.674
42     314.178     345.392
43     314.178     343.896
44     314.178     342.491
45     314.178     340.822
46     308.968     339.687
47     308.968     337.806
48     308.968     335.953
49     308.968     334.228
50      308.17     332.811
51     306.351     331.225
52     295.921     329.776
53     295.921     328.537
54     295.921     327.146
55     295.921      326.15
56     293.685     324.887
57     293.685     323.907
58     293.685     322.921
59     281.988     322.073
60     281.988     321.364
61     281.988     320.265
62     281.988     319.393
63     281.988     318.565
64     281.988     317.713
65     281.988     316.857
66     281.988     316.046
67     281.988      315.34
68     281.988     314.543
69     281.988     314.152
70     281.988     313.461
71     281.988     312.877
72     281.988     312.074
73     281.988      311.17
74     281.988     310.437
75     281.988     309.699
76     281.988      308.79
77     280.073      308.33
78     280.073     307.754
79     280.073     307.149
80     280.073     306.145
81     280.073     305.123
82     277.223     304.312
83     277.223      303.71
84     277.223     302.921
85     274.931     302.189
86     274.359     301.419
87     260.568     300.469
88     260.568     299.657
89     260.568     298.769
90     260.568      297.81
91     260.568     296.998
92     260.568     295.764
93     260.568     294.703
94     260.568     293.728
95     260.568     292.823
96     260.568     291.775
97     260.568       291.1
98     260.568     289.968
99     260.568     289.138
100     260.568     288.052
101     260.568     287.408
102     260.568     286.747
103     260.568     286.021
104     260.568     285.443
105     256.433     284.733
106     256.433     284.033
107     256.433     283.428
108     248.874     282.523
109     248.874     281.638
110     248.874     281.056
111     248.874     280.404
112     248.874     279.719
113     248.874     279.177
114     248.874     278.352
115     248.874     277.825
116     248.874     277.085
117     248.874     276.365
118     248.874     275.394
119     248.874     274.847
120     248.874     274.237
121     248.874     273.672
122     248.874     272.946
123     248.874     272.325
124     246.405     271.404
125     246.405     270.518
126     246.405     269.878
127     246.217     269.001
128     246.217     268.082
129     246.217     267.576
130     246.217     266.658
131     246.217     265.743
132     246.217     265.029
133     240.421     264.037
134     240.421     263.402
135     234.893     262.491
136     234.893     261.657
137     234.893      260.68
138     230.214     259.911
139     230.214     259.086
140     230.214      258.14
141     230.214      257.31
142     230.214     256.241
143     230.214     255.322
144     230.214      254.39
145     221.656     253.145
146     221.656     252.355
147     221.656     251.488
148     221.656     250.261
149     221.656     249.036
150     221.656     248.069
151     221.656     247.114
152     221.656     246.006
153     221.656     245.337
154     221.656     244.402
155     221.298     243.466
156     221.298     242.792
157     221.298     241.952
158     221.298     241.034
159     213.456     240.315
160     213.456     239.448
161     213.456     238.752
162     213.456     238.103
163     213.456     237.207
164     213.456     236.249
165     213.456     235.477
166     213.456     234.783
167     213.456     234.052
168     213.456       233.1
169     213.456     232.424
170     213.456     231.718
171     212.734      230.76
172     212.506     230.045
173     212.506     229.322
174     212.506     228.482
175     212.506     227.696
176     212.506     226.921
177     209.212     226.253
178     209.212     225.741
179     205.377     224.908
180     205.377     224.322
181     205.377     223.744
182     205.377     223.059
183     205.377     222.457
184     205.377     221.695
185     205.377     221.058
186     204.185     220.185
187     204.185     219.606
188     202.744     219.242
189     202.744     218.679
190     202.744     218.315
191     202.744     217.919
192     197.732     217.559
193     197.732     217.147
194     197.732     216.851
195     197.732     216.438
196     197.732     215.882
197     197.732     215.419
198     197.732     214.858
199     197.732     214.344
200     197.732     214.046
201     195.967      213.69
202     195.967     213.092
203     195.967     212.779
204     195.967     212.311
205     195.967     211.836
206     195.425     211.315
207     195.425      210.79
208     195.425      210.32
209     195.022     209.612
210     195.022     209.088
211     195.022     208.708
212     195.022     208.228
213     195.022     207.944
214     195.022     207.485
215     195.022     207.085
216     192.942     206.611
217     192.027     206.266
218     190.519     205.804
219     190.519     205.463
220     190.519       204.9
221     190.519     204.793
222     190.519      204.36
223     190.519     204.048
224     190.519     203.842
225     188.236     203.336
226     188.236     202.915
227     188.236     202.525
228     188.236     202.183
229     186.525      201.66
230     186.525     201.442
231     186.525     201.126
232     185.695     200.671
233     185.695     200.141
234     185.695     200.005
235     185.695     199.516
236     185.695     199.117
237     185.695     198.517
238     184.506     198.056
239     184.506     197.562
240     182.008      197.04
241     182.008     196.733
242     182.008     196.466
243     182.008     195.901
244     182.008     195.427
245     182.008      195.04
246     182.008     194.601
247     181.921     194.293
248     180.528     193.924
249     180.528     193.331
250     178.814     193.133
251     174.302     192.745
252     174.302     192.085
253     174.302     191.422
254     174.302     191.063
255     174.302     190.699
256     174.302     190.335
257     174.302     189.757
258     174.302     189.245
259     174.302     188.956
260     173.406     188.653
261     173.406     188.488
262     173.406     188.381
263     173.406     187.933
264     173.406     187.672
265     173.406     187.466
266     173.406     187.224
267     173.406     186.821
268     173.406     186.438
269     173.406     186.243
270     173.406     186.043
271     173.406     185.681
272     172.999     185.314
273     172.999     184.985
274     172.999     184.683
275     172.999     184.347
276     172.519     184.063
277     171.091     183.845
278     171.091      183.64
279     171.091     183.119
280     171.091     182.931
281     171.091     182.791
282     171.091     182.395
283     171.091      182.08
284     171.091     181.889
285     170.356     181.462
286     170.356     181.154
287     170.356     180.923
288     168.117     180.627
289     168.117     180.261
290     166.067     179.823
291     166.067     179.459
292     165.028     179.059
293     165.028      178.76
294     165.028     178.375
295     165.028     178.331
296     163.843     178.048
297     163.843     177.658
298     163.843     177.421
299     163.843     177.294
300     163.843     177.049
301     163.843     176.789
302     163.843     176.466
303     163.744      176.12
304     163.697     175.622
305     163.697      175.37
306     160.157     174.762
307     160.157     174.525
308     160.157     174.261
309     160.157     173.942
310     160.157     173.572
311     160.157     173.273
312     160.157     172.664
313      157.35     172.269
314      157.35     171.821
315      157.35     171.478
316      157.35     170.929
317      157.35     170.581
318      157.35     170.297
319      157.35     169.863
320      157.35     169.587
321      157.35     169.142
322      157.35      168.76
323      157.35     168.433
324      157.35     168.124
325      157.35     167.847
326      157.35     167.668
327      157.35     167.415
328      157.35     167.221
329      157.35     167.058
330      157.35     166.909
331      157.35     166.671
332      157.35     166.495
333      157.35     166.348
334      157.35     166.128
335      156.88     165.765
336     156.492     165.429
337     156.492     165.074
338     156.492     164.926
339     156.492     164.561
340     156.492     164.261
341       155.1     163.941
342       155.1     163.708
343       155.1     163.455
344       155.1     163.303
345       155.1     163.064
346       155.1     162.804
347     153.579     162.492
348     153.579     162.375
349     153.579     162.212
350     153.579     162.015
351     153.579     161.877
352     153.579     161.904
353     153.579     161.773
354     153.579     161.562
355     153.579     161.254
356      151.48     161.023
357      151.48     160.912
358      151.48     160.857
