T:   H:   H_ERR:   MU:   SIGMA:
    0.843319     0.35072  0.00762441    0.605554    0.378921
    0.830669     1.38743    0.016396    0.670464    0.314659
    0.818209     1.38743    0.016396    0.670464    0.314659
    0.805936     0.52605   0.0105425    0.618412    0.365733
    0.793847     0.52605   0.0105425    0.618412    0.365733
    0.781939     0.52605   0.0105425    0.618412    0.365733
     0.77021    0.103269   0.0062404     0.65862    0.412513
    0.758657   -0.116969  0.00738369    0.655848    0.451931
    0.747277   -0.154406   0.0064982    0.665026    0.456502
    0.736068    0.260649  0.00901426    0.760992    0.401396
    0.725027    0.260649  0.00901426    0.760992    0.401396
    0.714151    -0.14487  0.00645872    0.669976    0.458953
    0.703439    0.158881  0.00732205    0.612152     0.40228
    0.692888    0.495183  0.00951477    0.637804    0.370343
    0.682494    0.495183  0.00951477    0.637804    0.370343
    0.672257    0.117334  0.00996659    0.675719    0.413144
    0.662173    0.117334  0.00996659    0.675719    0.413144
     0.65224   -0.186363  0.00568485     0.63233    0.471959
    0.642457  0.00723043  0.00549818    0.591225     0.42644
     0.63282    0.284018  0.00724899    0.665054    0.391378
    0.623328    0.284018  0.00724899    0.665054    0.391378
    0.613978  -0.0975638  0.00581861     0.73086    0.449173
    0.604768   0.0864743  0.00735024     0.75528    0.422906
    0.595696   -0.025444  0.00620432    0.766333    0.438083
    0.586761   -0.025444  0.00620432    0.766333    0.438083
     0.57796   -0.150928  0.00517898    0.831147    0.467579
     0.56929   -0.322141  0.00451677    0.765932    0.509682
    0.560751   -0.374985  0.00239687    0.716552    0.542899
     0.55234   -0.378762  0.00296514    0.764402    0.532153
    0.544055   -0.423919  0.00123382    0.730939    0.599534
    0.535894    -0.36356  0.00199429    0.660802    0.565081
    0.527855   -0.290168  0.00202381    0.570232    0.645707
    0.519937   -0.161883  0.00358249    0.497783    0.585389
    0.512138   -0.195059  0.00337287    0.574011    0.504271
    0.504456   -0.336746  0.00278654    0.643048    0.556165
    0.496889   -0.372145   0.0017837    0.652289    0.617404
    0.489436    -0.31882  0.00193304    0.592899    0.658502
    0.482095   -0.355032  0.00151284    0.645941     0.58393
    0.474863   -0.385756  0.00234172    0.696857    0.565849
     0.46774   -0.192208  0.00467349    0.614259    0.477099
    0.460724   -0.332026  0.00209669    0.638325    0.560088
    0.453813   -0.394941  0.00143215    0.676558    0.640689
    0.447006   -0.344932  0.00230176    0.638848    0.575974
    0.440301   -0.281312    0.004042    0.604846    0.542751
    0.433696   -0.190579  0.00287241    0.549182     0.52444
    0.427191   -0.335497  0.00221846    0.638853     0.56494
    0.420783   -0.418456  0.00189079    0.721983    0.590328
    0.414471   -0.438117  0.00182997    0.755092    0.626458
    0.408254    -0.43787  0.00141117    0.788911    0.585961
    0.402131   -0.443084  0.00177148     0.79063    0.632794
    0.396099    -0.41849  0.00186368    0.759813    0.569458
    0.390157   -0.341585  0.00355623    0.680249    0.531168
    0.384305   -0.356834  0.00346161    0.763626    0.521396
     0.37854   -0.358296  0.00401237    0.802721    0.523375
    0.372862   -0.386893  0.00300792    0.726103    0.548113
    0.367269   -0.371408  0.00380186    0.805506    0.529032
     0.36176   -0.301103  0.00423316    0.886688    0.516267
    0.356334   -0.328652  0.00262993    0.907501    0.536559
    0.350989   -0.295376  0.00252491    0.980403    0.572047
    0.345724   -0.327142  0.00197782    0.953425    0.566975
    0.340538   -0.281215  0.00318931    0.980702    0.551843
     0.33543   -0.211668  0.00509317     1.03144    0.614986
    0.330398   -0.211668  0.00509317     1.03144    0.614986
    0.325442   -0.211668  0.00509317     1.03144    0.614986
    0.320561   -0.319348  0.00255555    0.964653    0.571327
    0.315752   -0.254506  0.00340441    0.939035    0.514817
    0.311016   -0.254506  0.00340441    0.939035    0.514817
    0.306351  -0.0163032  0.00503165    0.986299    0.460333
    0.301756   0.0208898  0.00545425    0.985443    0.453314
    0.297229   -0.215837  0.00570862    0.903576    0.492273
    0.292771   -0.215837  0.00570862    0.903576    0.492273
    0.288379   -0.233556  0.00332339    0.934659    0.504271
    0.284054   0.0305573  0.00482782     1.01371    0.452259
    0.279793    -0.19313  0.00357886    0.942363    0.494585
    0.275596    -0.19313  0.00357886    0.942363    0.494585
    0.271462  -0.0294546  0.00374759     1.01811    0.472705
     0.26739  -0.0294546  0.00374759     1.01811    0.472705
    0.263379   -0.168099  0.00353002    0.993353    0.504846
    0.259429   -0.168099  0.00353002    0.993353    0.504846
    0.255537   -0.308658  0.00314996    0.975241    0.572212
    0.251704   -0.330045  0.00240292    0.919787    0.540923
    0.247928   -0.189129  0.00351151    0.871948    0.480238
