GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0     416.928     498.347
1     414.558     489.613
2     414.558     482.416
3     414.558     475.599
4     414.558      468.74
5     409.025      462.04
6     409.025     456.086
7     406.727     450.959
8     394.951     446.019
9     364.466     441.237
10     364.466     436.498
11     364.466     432.132
12     364.466     428.106
13     360.341     423.175
14     360.341     419.807
15     360.341     415.973
16     356.221     411.766
17     356.221     407.962
18     346.942     404.414
19     346.942     400.979
20     332.186      397.67
21     332.186     393.744
22     332.186     389.978
23     332.186     386.788
24     332.186     383.568
25     324.325     379.886
26     306.216     376.475
27     306.216       373.8
28     306.216     371.363
29     306.216     368.815
30     306.216      366.33
31     306.216     364.206
32     306.216     361.462
33     306.216     358.866
34     306.216     356.236
35     306.216     353.424
36     306.216     350.466
37     306.216     347.328
38     306.216     344.854
39     306.216     342.599
40     306.216     339.839
41     306.216     337.238
42     297.223     334.845
43     294.153     332.911
44     294.153     330.863
45     285.257     328.842
46     285.257     326.401
47     285.257     324.624
48     285.257     322.662
49     285.257     320.422
50     278.959     318.248
51     275.941     315.934
52     275.941     313.511
53     275.941     311.431
54     275.941      309.25
55     275.941     307.058
56     275.941     305.056
57      271.86     302.938
58      271.86      301.18
59     264.018     298.957
60     264.018     297.554
61     264.018     295.968
62     264.018     294.473
63     264.018     292.912
64     264.018     291.776
65     264.018     290.162
66     258.927     289.008
67     258.927      287.83
68     258.073     286.518
69      254.98     285.386
70      254.98     284.028
71      254.98     283.119
72      254.98     282.095
73      254.98      281.07
74     246.746      280.09
75     246.746     279.124
76     241.705     277.756
77     241.705     276.702
78     241.705     275.794
79     241.705     274.985
80      239.77     274.065
81      239.77     273.601
82      239.77     272.686
83      239.77     272.103
84      239.77     271.619
85      239.77     270.779
86      239.77     270.327
87     237.058     269.563
88     237.058     268.494
89     237.058     267.938
90     232.868     267.078
91     232.868     266.438
92     232.868     265.545
93     232.868     264.877
94     232.868     264.012
95     232.868     263.164
96     232.868     262.369
97     232.868     261.592
98     232.868     260.657
99     232.868     259.899
100     232.695     259.085
101     232.695      258.64
102     232.695      257.87
103     230.915     256.878
104     230.915     255.784
105     229.974     254.766
106     229.974     253.713
107      225.42     252.492
108      225.42     251.678
109      225.42      250.91
110      225.42     249.697
111     224.428     248.571
112     224.428     247.574
113     224.428     246.519
114     221.531     245.333
115     221.531     244.576
116     220.603     243.531
117     220.603      242.56
118     220.603     241.839
119     220.603     241.165
120     219.417     240.683
121     219.417     239.892
122     219.417     239.351
123     219.216     238.818
124     214.496     238.037
125     214.496     237.338
126     214.496     236.779
127     210.267     236.052
128     210.267     235.574
129     210.267     235.063
130     210.267     234.412
131     210.267     233.967
132     210.267     233.413
133     210.267     232.772
134     210.267     232.399
135     210.267     231.955
136     210.267     231.504
137     210.267     230.904
138     210.267     230.567
139     210.267     230.417
140     210.267     229.958
141     210.267     229.606
142     210.267     229.216
143     207.889     228.783
144     207.889     228.472
145     207.889     228.214
146     207.889     227.816
147     207.889     227.374
148     207.889     226.914
149     207.889     226.588
150     206.379     226.025
151     200.118     225.736
152     200.118     225.224
153     200.118     224.702
154     200.118     223.947
155     200.118      223.51
156      200.07     222.796
157      200.07     222.278
158     199.261     221.598
159     199.261     221.029
160     199.261     220.474
161     199.261     219.893
162     199.261     219.269
163     199.261     218.618
164     199.261     217.846
165     199.261     217.801
166     190.505     217.121
167     190.505     216.225
168     190.505     215.533
169     190.505     214.833
170     189.964     214.131
171     189.964     213.618
172     189.964     213.042
