GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0     416.928     497.144
1     416.928     488.806
2     416.928     481.925
3     407.405     474.846
4     407.405     468.868
5     402.541     463.013
6     402.541     456.635
7     400.596     451.684
8     393.115     447.273
9     387.995     442.945
10     387.995     439.398
11     380.599     435.249
12     376.805     431.102
13     376.805     426.972
14     376.805     423.166
15     376.805     419.573
16     363.784     416.518
17     363.784     413.733
18     363.784     410.552
19     363.784     407.333
20     363.784     404.611
21     363.784     402.342
22     360.859     400.049
23     360.859     398.134
24     360.859     397.009
25     360.859     395.648
26     354.422     393.934
27     354.422     392.637
28     354.422     391.305
29     352.618     389.744
30     352.618     388.452
31     352.618     387.273
32     352.618     386.487
33     352.618      385.54
34     350.164     384.071
35     345.749     382.777
36     345.749     381.942
37     337.481     380.434
38     337.481     379.474
39     337.481     378.345
40     337.481     377.454
41     337.481     376.517
42     337.481     375.526
43     337.481     374.357
44     332.629     373.596
45     332.629     372.706
46     329.221     371.602
47      318.12     370.531
48      318.12     369.468
49      318.12     368.389
50      318.12     367.366
51      318.12     366.407
52      318.12     365.436
53      318.12     364.237
54      318.12     362.818
55      318.12     361.657
56      318.12     360.499
57      318.12     359.488
58      318.12     358.217
59      318.12     356.282
60      318.12     354.798
61     312.792     352.941
62     312.792     351.684
63     312.477     350.055
64     312.477     348.026
65     308.785     346.482
66     308.307     345.157
67     308.307     344.271
68     308.307     342.754
69     308.307     341.841
70     308.307     340.716
71     308.307     339.552
72     300.974     338.062
73     288.388     336.192
74     288.388     334.741
75     288.388     333.731
76     288.388     332.486
77     288.388     331.268
78     288.245     329.958
79     288.245     328.805
80     287.839     327.078
81     287.839     325.542
82      277.79     324.162
83      277.79     322.765
84      277.79     320.866
85      277.79     319.644
86      277.79     318.341
87      277.79     316.256
88      277.79      314.84
89      277.79     313.114
90      277.79     311.633
91      277.79     309.826
92     273.149     308.038
93     273.149     307.059
94     273.149      305.39
95     273.149     304.028
96     273.149     302.641
97     273.149     301.154
98     273.149     299.801
99     273.149     298.364
100     273.149      296.95
101     268.453     295.755
102     268.453     294.904
103     268.453     293.853
104     263.432     293.168
105     261.507     291.951
106     261.507     290.945
107     261.507     289.637
108     254.999     288.962
109     254.999     288.037
110     254.999     287.146
111     254.999     286.427
112     254.999     285.869
113     254.999     285.036
114     254.425     283.997
115     254.425     283.179
116     254.425     282.078
117     254.425     281.187
118     254.425     280.571
119     246.195     279.733
120     246.195     278.377
121     246.195     277.423
122     246.195       276.8
123     246.195     275.882
124     246.195     275.485
125     245.518     274.696
126     245.518     274.012
127     245.518     272.715
128     245.518     271.908
129     245.518     270.968
130     245.518     270.059
131     239.613      269.32
132     239.613     268.118
133     239.613     267.315
134     239.613     266.402
135     239.613     265.595
136     238.466     264.441
137     238.466     263.408
138     236.247     262.619
139     236.247     261.693
140     236.247     260.723
141     236.247     259.932
142     234.746     259.224
143     234.746     258.249
144     232.111     257.307
145     232.111     256.531
146     232.111     255.369
147     232.111     254.624
148     232.111     253.775
149     231.053     252.901
150     231.053     252.036
151     229.902     251.094
152      218.29      250.24
153      218.29     249.578
154      218.29     248.572
155      218.29     247.971
156      218.29     247.372
157      218.29     246.879
158      218.29     246.098
159     214.409     245.169
160     214.409     244.443
161     214.409     243.802
162     214.409     243.257
163     214.409     242.603
164     214.409     241.854
165     214.409     241.496
166     214.409     240.972
167     214.409     240.498
168     214.409     239.741
169     214.409     238.963
170     214.409     238.291
171     214.409       237.7
172     214.409     237.024
173     214.409     236.194
174     214.409     235.661
175     213.231     234.967
176     213.231      234.26
177     213.231      233.37
178     213.231     232.535
179     213.231     231.855
180     213.231     230.949
181     213.231     230.337
182     211.586      229.67
183     211.586     229.279
184     211.586     228.654
185     211.586     228.078
186     208.674     227.515
187     208.674     226.887
188     208.674     226.211
189       208.2     225.762
190       208.2      225.13
191       208.2     224.619
192       208.2     224.161
193     206.338     223.382
194     206.338     222.724
195     199.795      222.17
196     199.795     221.593
197     199.381     220.548
198     199.381     219.673
199     199.381     219.094
200     199.381      218.15
201     199.381      217.41
202     195.897     216.118
203     195.897     215.365
204     195.897     214.719
205     195.897     214.086
206     195.897     213.461
207     195.897     212.898
208     195.897     212.231
209     195.897     211.438
210     193.969     210.828
211     193.969     210.079
212     193.969     209.572
213     192.978     208.865
214     192.978     208.319
215     192.978     207.876
216     192.919     207.411
217     192.919     206.643
218     191.871     205.846
219     188.676     205.326
220     188.676     204.779
221     183.693     204.278
222     183.693     203.644
223     183.693     203.305
224     183.693     202.657
225     183.693     202.103
226     183.693     201.648
227     183.693      201.17
228     183.693     200.816
229     183.693     200.346
230     183.693      199.73
231     183.693     199.089
232     183.693     198.292
233     183.693     197.743
234     183.693     197.401
235     183.693     197.123
236     183.693     196.807
237     183.693     196.403
238     183.693     195.949
239     183.693     195.518
240     183.693      195.07
241     183.693     194.656
242     181.002     194.115
243     181.002     193.634
244     181.002     193.126
245     178.007     192.786
246     177.832     192.355
247     177.832     192.004
248     177.832     191.512
249     176.955     191.154
250     176.955     190.699
251     176.122     190.291
252     176.122     189.734
253     175.713     189.122
254     175.713     188.718
255     175.362      188.37
256     175.362     187.998
257     173.735     187.604
258     173.735     187.405
259     173.735     187.242
260     173.329     186.865
261     173.329     186.567
262     173.329     186.074
263     170.114      185.69
264     170.114     185.343
265     170.114     185.044
266     170.114     184.706
267     170.114     184.364
268     170.114     184.055
269     170.114     183.778
270     170.114     183.486
271     170.114     182.982
272     170.114     182.665
273     170.114     182.316
274     166.278     181.825
275     166.278     181.527
276     166.278     181.208
277     166.278     180.872
278     166.278     180.677
279     166.278     180.379
280     166.278     180.176
281     166.278     179.901
282     166.278     179.738
283     166.278     179.567
284     166.278     179.325
285     166.278     179.071
286     166.278     178.692
287     165.159     178.484
288     165.159     178.274
289     165.159     177.966
290     162.182     177.717
291     162.182     177.633
292     162.182     177.418
293     162.182     177.108
294     162.182     176.814
295     162.182     176.561
296     162.182     176.341
297     162.182     176.152
298     162.182     175.828
299      161.48     175.565
300      161.48     175.328
301      161.48      175.11
302      161.48     174.858
303      161.48     174.519
304      161.48     174.289
305      161.48     173.984
306      161.48     173.876
307      161.48     173.587
308     159.368     173.298
309     159.368     172.968
310      154.77     172.482
311      154.77      172.17
312     154.585     171.731
313     154.585     171.516
314     154.585     171.168
315     154.585     170.691
316     154.585      170.28
317     154.585     169.894
318     154.585     169.617
319     154.585     169.311
320     154.585     169.175
321     154.585      168.83
322     154.585     168.453
323     154.585     167.925
324     154.585     167.607
325     154.585     167.334
326     154.585     166.984
327     154.585     166.497
328     154.585     166.208
329     154.585     165.778
330     154.585       165.4
331     154.585     164.944
332     153.265     164.574
333     153.265     164.124
334     153.265     163.704
335     153.265     163.262
336     153.265     162.793
337     153.265     162.414
338     152.344     162.007
339     151.439     161.557
340     151.439     161.223
341     151.439     160.895
342     151.439     160.491
343     151.439     160.127
344     150.666     159.853
345     150.666     159.606
346     150.666     159.343
347     150.666     159.091
348     150.666     158.797
349     149.757     158.429
350     149.757     158.271
351     149.757     158.024
352     149.757     157.725
353     148.876     157.455
354     148.876     157.238
355     144.926     156.895
356     144.926     156.677
357     144.926     156.499
358     144.926     156.332
359     144.926     156.193
360     144.926     155.932
361     144.926     155.876
362     144.926     155.609
363     144.926     155.453
364     144.926     155.305
365     143.628     155.115
366     143.628     154.862
367     143.628     154.676
368     143.628     154.565
369     143.628     154.285
370     143.628     154.018
371     143.628     153.974
372     143.628     153.847
373     143.628     153.628
374     143.628     153.558
375     143.628     153.341
376     143.628     153.171
377     143.628     152.985
378     143.628     152.755
379     143.628     152.628
380     143.628     152.321
381     143.628     152.134
382     143.628     151.893
383     143.628     151.683
384     143.628     151.491
385     143.628     151.226
386     143.628     151.026
387     143.201     150.792
388     143.201     150.642
389     143.201     150.482
390     143.201     150.343
391     143.201     150.282
392     143.201     150.066
393     143.201     149.933
394     143.201     149.818
395     143.201     149.752
396     143.201     149.597
397     143.201     149.394
398     143.201     149.352
399      141.64     149.199
400      141.64     149.167
401      141.64     149.046
402      141.64     148.816
403      141.64      148.71
404      141.64     148.564
405      141.64     148.525
406      141.64     148.302
407      141.64     148.161
408      141.64     148.093
409      141.64     147.971
410      141.64     147.778
411      141.64     147.752
412     141.426     147.637
413     141.426     147.575
414     141.426     147.514
415     141.426     147.311
416     141.426     147.163
417     141.426     147.202
418     140.915     146.897
419     140.915     146.758
420     140.915     146.748
421     140.915     146.695
422     140.915     146.619
423     140.915     146.421
424     140.587     146.413
425     140.587     146.408
426     140.587     146.287
427     140.587     146.133
428     140.587     145.993
429     140.587     145.825
430     140.587     145.739
431     140.587     145.692
432     140.034     145.597
433     140.034     145.582
434     140.034     145.459
435     139.696     145.355
436     139.696     145.258
437     139.696     145.209
438     139.696     145.107
439     139.696     145.057
440     139.696     144.914
441      135.46     144.902
442      135.46     144.813
443      135.46     144.782
444      135.46     144.759
445      135.46     144.559
446      135.46     144.365
447      135.46      144.22
448     133.561     143.967
449     133.561     143.792
450     133.561     143.573
451     133.561      143.45
452     133.561     143.397
453     133.561     143.193
454     133.561      143.02
455     133.561     142.873
456     133.561      142.61
457     132.507     142.424
458     132.507     142.163
459     131.794     141.941
460     130.479     141.643
461     130.479     141.255
462     130.479     140.987
463     130.479     140.596
464     130.479     140.345
465     130.479     140.136
466     130.479     139.798
467     130.479     139.499
468     130.479     139.093
469     129.981     138.815
470     129.981     138.652
471     129.981     138.343
472     129.607     137.975
473     129.607     137.696
474     129.188     137.441
475     129.188     137.125
476     129.188     136.755
477     129.188     136.573
478     128.308     136.225
479     128.308     135.913
480     128.308     135.739
481     127.485     135.374
482     127.386     135.026
483     127.386     134.741
484     127.386     134.437
485     127.386     134.105
486     127.386     134.074
487     127.386     133.886
488     127.386     133.621
489     127.386     133.439
490     127.386     133.198
491     126.957     133.114
492     126.957     132.876
493     126.957     132.714
494      126.65     132.538
495      126.65     132.403
496      126.65      132.24
497      126.65     132.037
498     125.918     131.825
499     125.918     131.565
500     124.932     131.298
501     124.932     131.125
