GEN:      BEST_LOSS:      AVERAGE_LOSS: 
0     416.928     498.779
1     416.928     490.493
2     416.928     482.529
3     416.768     475.766
4     416.768     468.091
5     405.421     461.361
6     405.421     455.174
7      397.51     450.055
8      397.51      445.28
9     396.853     440.735
10     395.893     436.844
11     392.312     433.465
12     371.056     430.282
13     371.056     427.062
14     371.056     424.049
15     371.056      420.58
16     371.056     417.312
17     369.076     413.846
18     364.207     410.738
19     362.809     408.036
20     362.809     405.422
21     362.809     402.399
22     362.809     399.985
23     354.951     397.314
24     354.951     394.684
25     352.376       391.9
26     348.248     389.153
27     343.443     386.441
28     343.443     383.354
29     343.443     380.237
30     343.443     377.247
31     318.857     374.589
32     318.857     372.549
33     318.857     370.277
34     318.857     368.261
35     318.857     366.083
36     318.857     364.172
37     318.857     362.229
38     312.336     360.165
39     310.232     357.809
40     310.232      356.55
41     310.232     354.362
42      305.27     352.123
43      305.27     350.412
44      305.27     348.653
45      305.27     346.447
46      305.27     344.508
47      305.27     342.339
48      305.27     340.612
49      305.27     339.034
50      305.27     337.556
51     291.347     335.735
52     291.347     334.176
53     291.347     332.891
54     291.347     331.305
55     291.347     329.624
56     291.347     328.317
57     287.261     326.895
58     287.261     325.747
59     287.261     324.496
60     283.222     322.906
61     283.222     321.425
62     283.222     320.477
63     283.222     319.323
64     283.222     318.075
65     283.222     316.683
66     283.222     315.715
67     281.388     314.274
68     280.739     312.647
69     280.739     311.228
70     280.739     310.089
71     268.162     308.739
72     268.162       307.3
73     268.162     305.763
74     268.162     304.836
75     268.162     303.481
76     268.162      302.15
77     268.162     300.974
78     268.162     300.015
79     268.162     299.208
80     268.162     298.233
81     268.162     297.308
82     268.162     296.447
83     259.501     295.688
84     259.501     294.919
85     259.501     294.348
86     259.501      293.43
87     259.501     292.759
88     259.501     291.866
89     259.501     291.224
90     259.501     290.269
91     258.423     289.422
92     258.423     288.162
93     258.423     287.274
94     258.423     286.184
95     258.423     284.644
96       257.2     282.905
97     252.634     281.376
98     245.181     280.096
99     243.303     278.461
100     243.303     277.294
101     243.303     275.851
102     243.303      274.61
103     243.303     273.126
104     241.522     271.768
105     241.522     270.563
106     237.375     269.333
107     237.375     267.943
108     237.375     266.639
109     237.375     265.596
110     237.375     264.398
111     237.375     263.288
112     237.375     261.884
113     236.333     260.172
114      231.35     258.295
115      231.35     256.822
116     226.899     255.592
117     226.899     254.174
118     226.899     253.424
119     226.899     252.585
120     226.899     251.629
121     226.899     251.007
122     226.899     250.151
123     224.877     249.242
124     223.309      248.32
125     223.309      247.31
126     220.091     246.585
127     220.091     246.063
128     220.091      245.43
129     220.091     244.486
130     217.269     243.772
131     217.269     243.015
132     217.269     242.299
133     217.269     241.396
134     217.269     240.795
135     217.269       240.2
136     217.269     239.541
137     217.269     238.535
138     217.269     237.935
139     217.269     237.249
140     217.269     236.814
141     215.771      235.93
142     208.948     235.033
143     208.948      234.22
144     208.948     233.763
145     208.948     233.056
146     208.948     232.099
147     208.948     231.425
148     208.948     230.714
149     208.948     229.894
150     208.948       228.9
151     208.948     228.397
152     208.948     227.861
153     206.743     227.158
154     206.743     226.571
155     206.743     225.847
156     206.452     225.063
157      201.71     224.481
158      201.71     223.721
159      201.71     223.277
160     198.758     222.567
161     198.758     222.071
162     198.758     221.518
163     198.758     220.956
164     198.758     220.243
165     198.758     219.607
166     198.758     218.817
167     198.758     218.173
168     198.758     217.549
169     196.414     216.925
170     196.414     216.281
171     196.414     215.526
172     196.414     214.798
173     196.414     214.224
174     193.004     213.664
175     193.004     213.171
176     193.004     212.578
177     193.004     212.177
178     193.004     211.723
179     193.004     211.456
180     190.852     210.973
181     190.852     210.527
182     190.852     209.957
183     190.852     209.684
184     190.852     209.246
185     189.213     208.782
186     189.213     208.257
187     189.213     207.634
188     189.213     207.131
189     189.213     206.618
190     189.213       205.9
191     189.213     205.392
192     189.213     204.864
193     189.213     204.307
194     189.213     203.882
195     189.213     203.522
196     186.454     202.805
197     186.454     202.205
198     186.454     201.807
199     185.985     201.327
200     184.434     200.917
201     184.434     200.613
202     184.434     200.163
203     184.434     199.649
204     183.797     199.213
205     183.797     198.585
206     183.797     197.887
207     183.797     197.207
208     183.797     196.598
209     183.083      196.13
210     183.083     195.927
211     183.083     195.528
212     183.083     195.207
213     183.083     194.931
214     183.083     194.544
215     182.607     194.351
216     182.607      194.06
217     181.245     193.857
218     181.245     193.482
219     181.245     193.182
220     181.245      192.99
221     181.245     192.563
222     179.431     192.213
223     179.431     191.921
224     179.431     191.673
225     179.431     191.283
226     179.431     190.995
227     179.431     190.762
228     179.431     190.513
229     177.744     190.187
230     177.744     190.048
231     177.744      189.89
232     177.744     189.573
233     177.744     189.255
234     177.744     188.942
235     177.744     188.607
236     177.744      188.22
237     177.744     187.987
238     177.744     187.875
239     173.664     187.463
240     173.664      187.29
241     173.664     186.986
242     173.664     186.715
243     173.664     186.487
244     173.664     186.384
245     173.664     186.196
246     173.664     185.922
247     173.664     185.654
248     171.851     185.325
249     171.851     185.005
250     171.851     184.707
251     171.851     184.334
252     171.851         184
253     171.851      183.71
254     171.851     183.512
255     171.851     183.395
256     171.851     183.232
257     171.851     183.065
258      169.09     182.952
259      169.09     182.616
260      169.09     182.292
261      169.09     182.047
262      169.09     181.865
263      169.09     181.477
264      169.09     181.337
265      169.09     180.832
266      169.09     180.349
267      169.09     180.135
268      169.09      179.89
269     166.236     179.715
270     166.236     179.651
271     166.236     179.339
272     166.236     179.007
273     166.236     178.712
274     166.236     178.506
275     166.236     178.205
276     166.146     177.797
277     166.146     177.504
278     166.146      177.11
279     166.146     176.869
280     166.146      176.72
281     165.589     176.386
282     165.059     176.195
283     165.059     176.169
284     164.821     175.874
285     160.904     175.531
286     160.904     175.172
287     160.904     174.905
288     160.904      174.73
289     159.811     174.355
290     159.811     174.162
291     159.811     173.769
292     159.811     173.541
293     159.811     173.099
294     159.811     172.795
295     159.662     172.514
296     159.662     172.328
297     159.662     172.055
298     159.662     171.794
299     159.662     171.682
300     159.662      171.48
301     159.662     171.186
302     159.662     170.855
303     159.662     170.575
304     159.662     170.384
305     157.779     170.228
306     157.779     170.019
307     154.308     169.724
308     154.308     169.523
309     154.308     169.234
310     154.308     168.848
311     154.308     168.528
312     154.308     168.206
313     154.308     167.806
314     154.308     167.447
315     154.308     167.126
316     154.308     166.946
317     154.308     166.502
318     154.308     166.251
319     154.308     165.914
320     154.308     165.623
321     154.308     165.415
322     154.308     165.086
323     154.308     164.756
324     154.308     164.281
325     152.316     164.047
326     152.316     163.804
327     152.316     163.399
328     152.316     162.983
329     152.316     162.609
330     150.756     162.145
331     150.756     161.927
332     150.756     161.437
333     150.756     160.723
334     149.197     160.376
335     149.197     160.118
336     149.197     159.847
337     149.197     159.543
338     149.197     159.303
339     149.197     158.918
340     149.197     158.634
341     149.197     158.225
342     149.197      158.03
343     149.197     157.716
344     149.197     157.462
345     149.197     157.113
346     149.197     156.943
347     149.197      156.68
348     149.197     156.561
349     149.197     156.339
350     149.197     156.035
351     147.997      155.84
352     147.997     155.565
353     147.997     155.304
354     147.997     155.067
355     147.997     154.684
356     147.997     154.432
357     147.517     154.226
358     147.516     153.967
359     147.516     153.754
360     147.516     153.629
361     144.907     153.337
362     144.907     153.081
