#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.803814    0.803814           0
           2     0.91949    0.861652   0.0408978
           3    0.953001    0.892101   0.0368987
           4    0.864909    0.885303   0.0282933
           5    0.906362    0.889515    0.022946
           6    0.896773    0.890725   0.0191535
           7    0.913183    0.893933   0.0166838
           8    0.928656    0.898273   0.0151524
           9    0.900257    0.898494   0.0134704
          10    0.902978    0.898942   0.0121308
          11    0.971001    0.905493    0.012674
          12     0.96001    0.910036   0.0124054
          13     0.91042    0.910066   0.0114511
          14     0.92902    0.911419   0.0107129
          15    0.928244    0.912541   0.0100573
          16    0.948001    0.914757  0.00966982
          17     0.91398    0.914712  0.00910111
          18    0.915747    0.914769  0.00859568
          19    0.915839    0.914825  0.00814346
          20    0.914306      0.9148  0.00773633
